,break_time,x,break,wrd_id,sylls,syll_times,prominent_unit,prominent_brk,unit
0,0.19141,123,1,0,[],[],False,False,[]
1,0.56956,123,1,1,"['H*', 'HiF0']","[0.336134, 0.336134]",True,False,['nineteen']
2,0.9197,123,1,2,['!H*'],[0.695611],True,False,['seventy']
3,1.29,123,4,3,"['!H*', 'L-L%']","[1.092436, 1.171801]",True,True,['six']
4,1.900091,123,1,4,"['H*', 'HiF0']","[1.52109, 1.53866]",True,False,['{Democratic']
5,2.15,123,3-,5,['L-'],[2.114843],False,True,['}Governor']
6,2.44164,123,1,6,['L+H*'],[2.306253],True,False,['Michael']
7,3.081229,123,4,7,"['H*', 'HiF0', 'L-L%']","[2.735758, 2.735758, 3.011201]",True,True,['Dukakis']
8,3.562087,123,2,8,"['H*', 'HiF0']","[3.492059, 3.492059]",True,False,['fulfilled']
9,3.590099,123,1,9,[],[],False,False,['a']
10,4.229687,123,1,10,['H*'],[4.047614],True,False,['campaign']
11,4.710545,123,4,11,['L-L%'],[4.584495],False,True,['promise']
12,4.829524,123,1,12,[],[],False,False,['to']
13,5.870606,123,3,13,"['H*', 'HiF0', '*?', 'L-']","[5.086293, 5.086293, 5.371073, 5.772566]",True,True,['de-politicize']
14,6.351464,123,1,14,['L*'],[6.104032],True,False,['Judicial']
15,6.869671,123,4,15,"['H*', 'HiF0', 'L-L%']","[6.538205, 6.538205, 6.856562]",True,True,['appointment']
16,7.419879,123,1,16,[],[],False,False,['he']
17,7.690654,123,2,17,[],[],False,False,['named']
18,8.36,123,4,18,"['H*', 'HiF0', 'L-L%']","[7.952092, 7.952092, 8.213529]",True,True,['Republican']
19,8.839112,123,1,19,[],[],False,False,['Edward']
20,9.389998,123,4,20,"['H*', 'HiF0', 'L-H%']","[8.983836, 8.983836, 9.343313]",True,True,['Hennessy']
21,9.539391,123,1,21,[],[],False,False,['to']
22,9.800829,123,2,22,['H*'],[9.656104],True,False,['head']
23,9.870857,123,1-,23,[],[],False,False,['the']
24,10.141631,123,1,24,"['H*', 'HiF0']","[10.034255, 10.043671]",True,False,['State']
25,10.491771,123,1,25,['!H*'],[10.426412],True,False,['Supreme']
26,10.93,123,1,26,['!H*'],[10.701855],True,False,['Judicial']
27,11.31,123,4,27,"['!H*', 'L-L%']","[11.112685, 11.215393]",True,True,['court']
28,12.03,123,1,28,[],[],False,False,['For']
29,12.64,123,4,29,"['H*', 'HiF0', '!H-L%']","[12.125538, 12.125538, 12.503689]",True,True,['Hennessy']
30,12.69043,123,1,30,[],[],False,False,['It']
31,12.87,123,1,31,[],[],False,False,['was']
32,13.21,123,1,32,"['H*', 'HiF0']","[13.003221, 13.012558]",True,False,['another']
33,13.56,123,3,33,"['!H*', '!H-']","[13.381372, 13.502754]",True,True,['step']
34,13.829539,123,1,34,[],[],False,False,['along']
35,13.8697,123,1,35,[],[],False,False,['a']
36,14.51,123,1,36,"['H*', 'HiF0']","[14.207701, 14.207701]",True,False,['distinguished']
37,14.97,123,4,37,"['!H*', 'L-L%']","[14.711903, 14.893975]",True,True,['career']
38,15.300137,123,1,38,[],[],False,False,['That']
39,15.74,123,2,39,"['H*', 'HiF0']","[15.729642, 15.729642]",True,False,['began']
40,15.84,123,1-,40,[],[],False,False,['as']
41,15.89,123,1,41,[],[],False,False,['a']
42,16.36,123,1,42,['!H*'],[16.121798],True,False,['trial']
43,16.61,123,4,43,['L-H%'],[16.579314],False,True,['lawyer']
44,17.081699,123,1,44,[],[],False,False,['and']
45,17.249766,123,2,45,['H*'],[17.161064],True,False,['led']
46,17.35,123,1-,46,[],[],False,False,['to']
47,17.43,123,1-,47,[],[],False,False,['an']
48,17.91,123,3,48,"['H*', 'HiF0', 'L-']","[17.623248, 17.623248, 17.833332]",True,True,['appointment']
49,18.160129,123,1,49,[],[],False,False,['as']
50,18.790381,123,3-,50,"['H*', 'HiF0', 'L-']","[18.472921, 18.477589, 18.706347]",True,True,['associate']
51,19.18,123,1,51,[],[],False,False,['Supreme']
52,19.420632,123,1,52,[],[],False,False,['court']
53,19.892153,123,4,53,"['L*', 'L-H%']","[19.537345, 19.80812]",True,True,['Justice']
54,20.001432,123,1-,54,[],[],False,False,['In']
55,20.370246,123,1,55,"['H*', 'HiF0']","[20.108808, 20.108808]",True,False,['nineteen']
56,20.720386,123,1,56,[],[],False,False,['seventy']
57,21.14989,123,4,57,"['H*', 'L-L%']","[20.813756, 21.05652]",True,True,['one']
58,21.89,123,1,58,"['H*', 'HiF0']","[21.768038, 21.784097]",True,False,['That']
59,22.16,123,4,59,"['!H*', 'L-H%']","[21.940773, 22.127515]",True,True,['year']
60,22.68,123,1,60,"['H*', 'HiF0']","[22.430969, 22.441726]",True,False,['Thomas']
61,23.14,123,4,61,"['!H*', 'L-L%']","[22.869811, 23.0939]",True,True,['Maffy']
62,23.341332,123,1,62,[],[],False,False,['now']
63,23.88,123,3,63,"['H*', 'HiF0', 'L-']","[23.495393, 23.495393, 23.826859]",True,True,['president']
64,23.98092,123,1-,64,[],[],False,False,['of']
65,24.041611,123,1,65,[],[],False,False,['the']
66,24.67,123,2,66,[],[],False,False,['Massachusetts']
67,24.93,123,1,67,"['H*', 'HiF0']","[24.849267, 24.849267]",True,False,['Bar']
68,25.67,123,4,68,['L-H%'],[25.628911],False,True,['association']
69,26.02148,123,1,69,[],[],False,False,['was']
70,26.53035,123,2,70,"['HiF0', 'H+!H*']","[26.068166, 26.091508]",False,False,"[""Hennessy's""]"
71,26.759108,123,1,71,['H+!H*'],[26.572367],False,False,['law']
72,27.230629,123,4,72,['L-L%'],[27.061178],False,True,['clerk']
