,break_time,x,break,wrd_id,sylls,syll_times,prominent_unit,prominent_brk,unit
0,0.5,76,1,0,"['H+!H*', 'HiF0']","[0.286029, 0.385039]",False,False,"['Under', 'the']"
1,0.68,76,1,1,[],[],False,False,['new']
2,1.04,76,4-,2,"['!H*', 'L-H%']","[0.79208, 1.004039]",True,True,['law']
3,1.13,76,1-,3,[],[],False,False,['the']
4,1.92,76,1-,4,"['H*', 'HiF0']","[1.29263, 1.336634]",True,False,['consequences']
5,1.99,76,1,5,[],[],False,False,['of']
6,2.49,76,1,6,['L+H*'],[2.205722],True,False,['driving']
7,2.91,76,4-,7,"['!H*', 'L-H%']","[2.678769, 2.854787]",True,True,['drunk']
8,3.06,76,1,8,[],[],False,False,['will']
9,3.2,76,1,9,[],[],False,False,['be']
10,3.62,76,3-,10,"['HiF0', 'H*', 'H-']","[3.415843, 3.454347, 3.553357]",True,True,['swift']
11,3.85,76,2,11,"['HiF0', 'H*']","[3.734874, 3.751377]",True,False,['and']
12,4.35,76,4,12,"['!H*', 'L-L%']","[4.103412, 4.322282]",True,True,['severe']
13,5.0,76,1,13,['H*'],[4.878989],True,False,['Under']
14,5.15,76,1,14,[],[],False,False,['the']
15,5.46,76,3,15,"['*?', 'HiF0', 'H-']","[5.242025, 5.313532, 5.429044]",False,True,['old']
16,6.06,76,1,16,['H*'],[5.676569],True,False,['already']
17,6.48,76,1,17,"['HiF0', 'H*']","[6.243126, 6.265128]",True,False,['tough']
18,6.75,76,4,18,['L-H%'],[6.72715],False,True,['law']
19,7.15,76,0,19,"['H*', 'HiF0']","[6.947195, 6.969199]",True,False,['{first']
20,7.35,76,1,20,[],[],False,False,['}time']
21,7.97,76,4-,21,"['!H*', 'L-H%']","[7.535754, 7.917753]",True,True,['offenders']
22,8.18,76,1,22,['H*'],[8.058315],True,False,['used']
23,8.26,76,1-,23,[],[],False,False,['to']
24,8.65,76,2,24,"['H*', 'HiF0']","[8.470848, 8.509352]",True,False,['lose']
25,8.81,76,1,25,[],[],False,False,['their']
26,9.26,76,3-,26,"['L+!H*', 'L-']","[8.960397, 9.19142]",False,True,['license']
27,9.37,76,1,27,[],[],False,False,['for']
28,9.69,76,1,28,"['HiF0', 'H*']","[9.484016, 9.499451]",True,False,['thirty']
29,10.18,76,4,29,"['H+!H*', 'L-L%']","[9.818483, 10.146665]",False,True,['days']
30,10.86,76,4-,30,"['H*', 'HiF0', 'H-H%']","[10.704071, 10.742576, 10.836084]",True,True,['Well']
31,11.06,76,1,31,['H*'],[10.990099],True,False,['now']
32,11.17,76,1,32,[],[],False,False,['they']
33,11.38,76,1,33,[],[],False,False,['could']
34,11.6,76,1,34,"['H*', 'HiF0']","[11.435644, 11.474148]",True,False,['lose']
35,11.71,76,3,35,['H-'],[11.683169],False,True,['it']
36,11.9,76,0,36,[],[],False,False,['for']
37,12.01,76,1,37,[],[],False,False,['as']
38,12.24,76,0,38,['H*'],[12.068208],True,False,['many']
39,12.36,76,1,39,[],[],False,False,['as']
40,12.88,76,4,40,"['L+H*', 'HiF0', 'L-L%']","[12.58526, 12.58526, 12.803737]",True,True,['ninety']
