,break_time,x,break,wrd_id,sylls,syll_times,prominent_unit,prominent_brk,unit
0,1.42,76,1,0,"['H*', 'HiF0', '!H*']","[0.393543, 0.401606, 0.862767]",True,False,"['Prothro-Stith', 'points']"
1,1.64,76,4,1,['L-L%'],[1.604445],False,True,['out']
2,1.75,76,1-,2,[],[],False,False,['that']
3,1.86,76,1,3,[],[],False,False,['if']
4,2.21,76,1,4,"['L+H*', 'HiF0']","[2.164487, 2.168671]",True,False,[]
5,2.469876,76,2-,5,[],[],False,False,['school-based']
6,3.082324,76,3,6,"['!H*', 'L-']","[2.739665, 2.906164]",True,True,['clinics']
7,3.37,76,1,7,"['H*', 'HiF0']","[3.319889, 3.333328]",True,False,['were']
8,4.09,76,4,8,"['!H*', 'L-H%']","[3.683159, 3.960658]",True,True,['established']
9,4.61,76,1,9,"['L+H*', 'HiF0', '<']","[4.475101, 4.487945, 4.565919]",True,False,['parental']
10,5.15,76,3-,10,"['L+!H*', 'L-']","[4.92919, 5.100734]",False,True,['permission']
11,5.27,76,1,11,[],[],False,False,['would']
12,5.38,76,1,12,[],[],False,False,['be']
13,5.98,76,4,13,"['L+H*', 'HiF0', 'L-L%']","[5.686003, 5.697782, 5.88782]",True,True,['required']
14,6.12,76,1,14,[],[],False,False,['for']
15,6.500706,76,1,15,[],[],False,False,['students']
16,6.641269,76,1-,16,[],[],False,False,['to']
17,7.06,76,2,17,[],[],False,False,['receive']
18,7.349099,76,1,18,"['L+H*', 'HiF0']","[7.213117, 7.243964]",True,False,['each']
19,7.740664,76,1,19,[],[],False,False,['service']
20,8.192471,76,4,20,"['!H*', 'L-L%']","[7.879113, 8.13643]",True,True,['offered']
21,8.65,76,1,21,[],[],False,False,['and']
22,8.76,76,1,22,[],[],False,False,['that']
23,8.989033,76,1,23,"['L+H*', 'HiF0']","[8.914444, 8.91904]",True,False,['birth']
24,9.52494,76,4,24,['L-H%'],[9.454304],False,True,['control']
25,9.631602,76,1,25,[],[],False,False,['would']
26,9.812325,76,1,26,[],[],False,False,['be']
27,10.1,76,1,27,['H*'],[9.948755],True,False,['only']
28,10.409714,76,3,28,"['HiF0', 'H*', 'L-']","[10.2845, 10.301935, 10.372571]",True,True,['part']
29,10.490035,76,1-,29,[],[],False,False,['of']
30,10.54,76,1,30,[],[],False,False,['a']
31,11.291043,76,1,31,"['H*', 'H*', 'HiF0']","[10.700524, 11.073885, 11.085507]",True,False,['comprehensive']
32,11.89,76,4,32,"['!H*', 'L-H%']","[11.48761, 11.815562]",True,True,['program']
33,12.1659,76,1,33,[],[],False,False,['dealing']
34,12.266811,76,1,34,[],[],False,False,['with']
35,12.64,76,3-,35,"['L+H*', 'HiF0', 'H-']","[12.418174, 12.440926, 12.5544]",True,True,['other']
36,13.24,76,1,36,['*?'],[12.741081],False,False,['adolescent']
37,13.811119,76,4,37,"['L*', 'L-H%']","[13.321305, 13.714848]",True,True,['issues']
38,14.011476,76,1,38,[],[],False,False,['like']
39,14.689186,76,4,39,"['L+H*', 'HiF0', 'H-H%']","[14.375798, 14.405408, 14.653297]",True,True,['depression']
40,15.66,76,4,40,"['H*', 'HiF0', 'L-H%']","[15.183066, 15.203599, 15.561473]",True,True,['suicide']
41,15.86,76,1,41,[],[],False,False,['and']
42,16.19,76,1,42,"['H*', 'HiF0']","[16.017768, 16.031911]",True,False,['eating']
43,16.83,76,4,43,['L-L%'],[16.628265],False,True,['disorders']
44,17.52,76,1,44,['%H'],[17.42646],False,False,['She']
45,17.850202,76,2,45,"['L+H*', 'HiF0']","[17.683776, 17.70315]",True,False,['agrees']
46,17.960644,76,1,46,[],[],False,False,['with']
47,18.241768,76,1,47,[],[],False,False,['Mary']
48,18.73,76,4,48,"['L+!H*', 'L-H%']","[18.44059, 18.707997]",False,True,['Conroy']
49,19.209999,76,1,49,[],[],False,False,['that']
50,19.280001,76,1-,50,[],[],False,False,['the']
51,19.559999,76,2,51,"['L+H*', 'HiF0']","[19.384084, 19.404954]",True,False,['roots']
52,19.620001,76,1-,52,[],[],False,False,['of']
53,19.809999,76,1,53,['L+!H*'],[19.727173],False,False,['these']
54,20.34,76,4,54,['L-H%'],[20.261988],False,True,['Problems']
55,20.540001,76,1,55,[],[],False,False,['dig']
56,20.809999,76,2,56,"['L+H*', 'HiF0']","[20.690968, 20.711518]",True,False,['deep']
57,20.95,76,1,57,[],[],False,False,['into']
58,21.61,76,4,58,"['!H*', 'L-L%']","[21.311555, 21.553735]",True,True,['society']
59,22.22,76,1,59,[],[],False,False,['But']
60,22.41,76,1,60,[],[],False,False,['while']
61,22.96,76,4,61,"['L+H*', 'HiF0', 'L-H%']","[22.669792, 22.69106, 22.927108]",True,True,['Conroy']
62,23.5,76,3-,62,"['H*', 'HiF0', 'L-']","[23.30047, 23.313549, 23.47706]",True,True,['strongly']
63,23.979395,76,2,63,['H*'],[23.749513],True,False,['{opposes']
64,24.240439,76,1,64,[],[],False,False,[]
65,24.559997,76,1,65,[],[],False,False,['}school-based']
66,25.02047,76,3,66,"['HiF0', 'H*', 'L-']","[24.704109, 24.723279, 24.874642]",True,True,['clinics']
67,25.271474,76,1-,67,[],[],False,False,['as']
68,25.311635,76,1,68,[],[],False,False,['a']
69,25.91,76,4,69,"['HiF0', 'L+H*', 'L-H%']","[25.652456, 25.661728, 25.848409]",True,True,['solution']
70,26.640835,76,1,70,[],[],False,False,['calling']
71,26.84,76,2,71,[],[],False,False,['them']
72,26.97,76,1,72,[],[],False,False,['a']
73,27.65,76,3-,73,"['L+H*', 'HiF0', 'L-']","[27.285895, 27.29402, 27.593665]",True,True,['bandaid']
74,27.740231,76,1,74,[],[],False,False,['that']
75,28.031396,76,1,75,[],[],False,False,"[""won't""]"
76,28.35,76,4,76,"['HiF0', 'L+H*', '!H-L%']","[28.107272, 28.11839, 28.259661]",True,True,['work']
77,29.470175,76,1,77,"['L+H*', 'HiF0']","[29.377197, 29.395514]",True,False,['Prothro-Stith']
78,29.891861,76,4,78,['L-H%'],[29.790921],False,True,['says']
79,30.33,76,1,79,[],[],False,False,['both']
80,30.809999,76,2,80,['H*'],[30.523526],True,False,['attention']
81,30.870937,76,1-,81,[],[],False,False,['to']
82,31.43,76,2-,82,['!H*'],[31.068432],True,False,"[""teenagers'""]"
83,31.890012,76,1,83,"['L+H*', 'HiF0']","[31.714246, 31.735605]",True,False,['immediate']
84,32.321738,76,4,84,['L-H%'],[32.163289],False,True,['needs']
85,32.4623,76,1,85,[],[],False,False,['as']
86,32.69,76,1,86,[],[],False,False,['well']
87,32.839957,76,2,87,[],[],False,False,['as']
88,33.161242,76,1,88,['L+H*'],[33.056329],True,False,['long']
89,33.442366,76,2,89,[],[],False,False,['range']
90,34.049794,76,4,90,"['L+H*', 'HiF0', 'L-H%']","[33.767734, 33.788815, 34.004868]",True,True,['prevention']
91,34.240557,76,1,91,[],[],False,False,['and']
92,34.46144,76,1,92,[],[],False,False,['health']
93,35.11907,76,4-,93,"['HiF0', 'L+H*', 'L-H%']","[34.797785, 34.805972, 35.022925]",True,True,['education']
94,35.349993,76,1,94,[],[],False,False,['are']
95,35.8,76,4,95,"['H*', 'HiF0', 'L-L%']","[35.376105, 35.390154, 35.693966]",True,True,['needed']
