,break_time,x,break,wrd_id
0,1.56,76,1,0
1,2.09,76,3-,1
2,2.2,76,1,2
3,2.3,76,1,3
4,3.0,76,2,4
5,3.47,76,1,5
6,3.94,76,4,6
7,4.28,76,1,7
8,4.63,76,3,8
9,4.78,76,1,9
10,5.43,76,2,10
11,5.78,76,1,11
12,6.14,76,4,12
13,6.48,76,1,13
14,6.94,76,4,14
15,7.7,76,2,15
16,7.78,76,1,16
17,8.41,76,1,17
18,9.03,76,1,18
19,9.26,76,2,19
20,9.33,76,1,20
21,9.97,76,4,21
22,10.19,76,0,22
23,10.25,76,1,23
24,10.86,76,3-,24
25,10.98,76,1,25
26,11.45,76,2,26
27,11.53,76,1,27
28,11.64,76,1,28
29,12.0,76,2,29
30,12.13,76,1,30
31,12.59,76,4,31
32,13.1,76,1,32
33,13.25,76,1,33
34,13.37,76,2,34
35,13.44,76,1,35
36,13.71,76,1,36
37,14.15,76,1,37
38,14.75,76,4-,38
39,15.12,76,1,39
40,15.44,76,1,40
41,16.0,76,1,41
42,16.399999,76,4,42
43,16.969999,76,1,43
44,17.01,76,1,44
45,17.52,76,2,45
46,17.550001,76,1,46
47,17.760001,76,1,47
48,18.67,76,4,48
49,19.0,76,2,49
50,19.16,76,1,50
51,19.290001,76,1,51
52,19.360001,76,1,52
53,19.969999,76,4,53
54,20.559999,76,1,54
55,21.430001,76,2,55
56,21.74,76,1,56
57,22.290001,76,1,57
58,22.870001,76,4,58
59,23.360001,76,3,59
60,23.49,76,1,60
61,23.690001,76,1,61
62,23.79,76,2,62
63,24.07,76,1,63
64,24.42,76,3,64
65,24.58,76,1,65
66,24.98,76,4,66
