,break_time,x,break,wrd_id,sylls,syll_times,prominent_unit,prominent_brk,unit
0,0.9,76,1,0,"['HiF0', 'L-']","[0.451807, 0.705]",False,False,['is']
1,0.98,76,1,1,[],[],False,False,['the']
2,1.7,76,4,2,"['H*', 'HiF0', 'H-L%']","[1.015, 1.044175, 1.681724]",True,True,"[""S.J.C.'s""]"
3,2.06,76,1,3,"['H*', 'HiF0']","[1.91, 1.922688]",True,False,['thirty']
4,2.49,76,2,4,['!H*'],[2.245],True,False,['second']
5,2.8,76,1,5,['*?'],[2.67],False,False,['Chief']
6,3.41,76,4,6,"['!H*', 'L-H%']","[2.935, 3.323288]",True,True,['Justice']
7,3.91,76,2,7,['*?'],[3.675],False,False,['Holding']
8,3.98,76,1,8,[],[],False,False,['the']
9,4.26,76,1,9,"['H*', 'HiF0']","[4.135, 4.16164]",True,False,['Court']
10,4.59,76,3,10,['H-'],[4.575],False,True,['system']
11,4.69,76,1,11,[],[],False,False,['on']
12,4.75,76,1,12,[],[],False,False,['the']
13,5.15,76,2,13,['H*'],[4.92],True,False,['course']
14,5.25,76,0,14,"['HiF0', 'H*']","[5.202055, 5.215]",True,False,['he']
15,5.33,76,1,15,[],[],False,False,['has']
16,5.78,76,4,16,"['L+H*', 'L-L%']","[5.529632, 5.743498]",True,True,['set']
17,5.97,76,1,17,[],[],False,False,['and']
18,6.33,76,2,18,['H*'],[6.145],True,False,['plotting']
19,6.52,76,1,19,[],[],False,False,"[""it's""]"
20,6.86,76,1,20,"['L+H*', 'HiF0']","[6.645, 6.652856]",True,False,['future']
21,7.3,76,4,21,"['L*', 'L-H%']","[7.045, 7.26458]",True,True,['agenda']
22,7.87,76,2,22,['H*'],[7.775],True,False,"[""won't""]"
23,8.05,76,1,23,[],[],False,False,['be']
24,8.14,76,1,24,[],[],False,False,['an']
25,8.48,76,1,25,"['L+H*', 'HiF0']","[8.293141, 8.308201]",True,False,['easy']
26,8.84,76,4,26,"['*?', 'L-H%']","[8.69, 8.825269]",False,True,['job']
27,9.03,76,1,27,[],[],False,False,['for']
28,9.2,76,1,28,[],[],False,False,['his']
29,9.82,76,4,29,"['H*', 'HiF0', 'L-L%']","[9.525, 9.538119, 9.804183]",True,True,['successor']
