,peak_time,x,ton,syl_id,wrd_id,prominent_syll
0,0.451807,115,HiF0,0,0,False
1,0.705,115,L-,1,0,False
2,1.015,115,H*,2,2,True
3,1.044175,115,HiF0,3,2,False
4,1.681724,115,H-L%,4,2,False
5,1.91,115,H*,5,3,True
6,1.922688,115,HiF0,6,3,False
7,2.245,115,!H*,7,4,True
8,2.67,115,*?,8,5,False
9,2.935,115,!H*,9,6,True
10,3.323288,115,L-H%,10,6,False
11,3.675,115,*?,11,7,False
12,4.135,115,H*,12,9,True
13,4.16164,115,HiF0,13,9,False
14,4.575,115,H-,14,10,False
15,4.92,115,H*,15,13,True
16,5.202055,115,HiF0,16,14,False
17,5.215,115,H*,17,14,True
18,5.529632,115,L+H*,18,16,True
19,5.743498,115,L-L%,19,16,False
20,6.145,115,H*,20,18,True
21,6.645,115,L+H*,21,20,True
22,6.652856,115,HiF0,22,20,False
23,7.045,115,L*,23,21,True
24,7.26458,115,L-H%,24,21,False
25,7.775,115,H*,25,22,True
26,8.293141,115,L+H*,26,25,True
27,8.308201,115,HiF0,27,25,False
28,8.69,115,*?,28,26,False
29,8.825269,115,L-H%,29,26,False
30,9.525,115,H*,30,29,True
31,9.538119,115,HiF0,31,29,False
32,9.804183,115,L-L%,32,29,False
