,peak_time,x,ton,syl_id,wrd_id,prominent_syll
0,0.652609,115,HiF0,0,0,False
1,1.473264,115,L-L%,1,0,False
2,2.185,115,L*,2,3,True
3,2.520076,115,L-L%,3,3,False
4,3.075,115,L+H*,4,6,True
5,3.102405,115,HiF0,5,6,False
6,3.534131,115,L-H%,6,6,False
7,3.78,115,H*,7,7,True
8,3.790155,115,HiF0,8,7,False
9,4.175,115,!H*,9,8,True
10,4.426089,115,L-,10,8,False
11,4.83,115,H*,11,9,True
12,4.840838,115,HiF0,12,9,False
13,5.165,115,L-,13,9,False
14,5.995,115,L*,14,11,True
15,6.271795,115,L-H%,15,11,False
16,7.124971,115,HiF0,16,14,False
17,7.145,115,H*,17,14,True
18,7.57,115,L+!H*,18,15,False
19,7.851191,115,L-H%,19,15,False
20,8.085,115,H*,20,16,True
21,8.094256,115,HiF0,21,16,False
22,8.715076,115,L+!H*,22,17,False
23,9.231711,115,L-L%,23,17,False
24,9.78,115,H*,24,18,True
25,9.79606,115,HiF0,25,18,False
26,10.105,115,L+!H*,26,19,False
27,10.485,115,L+!H*,27,20,False
28,11.045,115,L-L%,28,20,False
29,11.225,115,H*,29,21,True
30,11.254513,115,HiF0,30,21,False
31,11.635,115,!H*,31,24,True
32,12.525,115,H*,32,27,True
33,12.896691,115,L-,33,27,False
34,13.405,115,L+H*,34,29,True
35,13.442965,115,HiF0,35,29,False
36,14.005,115,L+H*,36,30,True
37,14.421879,115,L-L%,37,30,False
38,14.88464,115,H*,38,31,True
39,14.888746,115,HiF0,39,31,False
40,15.295371,115,L-L%,40,31,False
