,break_time,x,break,wrd_id,sylls,syll_times,prominent_unit,prominent_brk,unit
0,1.7,76,2,0,"['HiF0', 'L-H%']","[0.67269, 1.144577]",False,False,['expects']
1,2.34,76,1,1,"['HiF0', 'L+H*']","[2.158631, 2.165]",True,False,['electronic']
2,3.07,76,3,2,"['!H*', 'L-']","[2.655, 3.022084]",True,True,['surveillance']
3,3.23,76,1,3,[],[],False,False,['in']
4,3.59,76,1,4,"['H*', 'HiF0']","[3.51, 3.554211]",True,False,['parole']
5,4.4,76,4,5,['L-H%'],[4.387543],False,True,['situations']
6,4.49,76,1-,6,[],[],False,False,['to']
7,4.86,76,2,7,[],[],False,False,['become']
8,5.14,76,1,8,"['L+H*', 'HiF0']","[5.082527, 5.089357]",True,False,['more']
9,5.43,76,1,9,[],[],False,False,['wide']
10,6.03,76,4,10,"['!H*', 'L-L%']","[5.735137, 6.014656]",True,True,['spread']
11,6.27,76,0,11,[],[],False,False,['and']
12,6.36,76,1,12,[],[],False,False,['he']
13,6.65,76,2,13,['H*'],[6.463047],True,False,['thinks']
14,7.28,76,4,14,"['L+H*', 'HiF0', 'L-H%']","[6.869673, 6.876503, 7.259634]",True,True,['eventually']
15,7.57,76,2,15,"['H*', 'HiF0']","[7.42, 7.539152]",True,False,['people']
16,7.72,76,1,16,[],[],False,False,['will']
17,7.94,76,1,17,[],[],False,False,['get']
18,8.23,76,2,18,['L+!H*'],[8.08],False,False,['{used']
19,8.33,76,1,19,[],[],False,False,['to']
20,8.5,76,1,20,[],[],False,False,['the']
21,9.01,76,4,21,"['*?', 'L-L%']","[8.85, 8.981519]",False,True,['idea']
22,10.04,76,1,22,"['H*', 'HiF0']","[9.655818, 9.678713]",True,False,['Springfield']
23,10.43,76,4-,23,"['!H*', 'L-H%']","[10.24, 10.375]",True,True,['jail']
24,10.8,76,1,24,[],[],False,False,['deputy']
25,11.55,76,1,25,[],[],False,False,['superintendent']
26,12.02,76,4,26,"['H*', 'HiF0', 'H-L%']","[11.677706, 11.701802, 11.952607]",True,True,['Ash']
27,12.6,76,2,27,['H*'],[12.475],True,False,['says']
28,12.94,76,2,28,['H*'],[12.87],True,False,['although']
29,13.03,76,1,29,[],[],False,False,['It']
30,13.3,76,1,30,"['L+H*', 'HiF0']","[13.19, 13.232924]",True,False,['will']
31,13.64,76,4,31,['L-H%'],[13.609231],False,True,['allow']
32,13.97,76,1,32,"['H*', 'HiF0']","[13.835, 13.888751]",True,False,['some']
33,14.55,76,3,33,"['!H*', 'L-']","[14.15, 14.525]",True,True,['prisoners']
34,14.67,76,1-,34,[],[],False,False,['to']
35,14.82,76,1,35,[],[],False,False,['be']
36,15.38,76,3,36,"['HiF0', 'L+H*', 'L-']","[15.073488, 15.135, 15.356424]",True,True,['released']
37,15.48,76,1,37,[],[],False,False,['a']
38,15.74,76,1,38,"['H*', 'HiF0']","[15.700797, 15.721077]",True,False,['few']
39,16.110001,76,3,39,"['!H*', 'L-']","[15.91, 16.064254]",True,True,['months']
40,16.44,76,1,40,[],[],False,False,['before']
41,16.57,76,1,41,[],[],False,False,['their']
42,17.19,76,2,42,"['L+H*', 'HiF0']","[16.75, 16.759035]",True,False,['sentences']
43,17.34,76,1,43,[],[],False,False,['are']
44,17.59,76,4,44,"['L+H*', '!H-L%']","[17.43, 17.514999]",True,True,['up']
45,18.65,76,2,45,"['H*', 'HiF0']","[18.33, 18.335337]",True,False,['concerns']
46,18.860001,76,1,46,['!H*'],[18.75],True,False,['that']
47,19.08,76,1,47,[],[],False,False,['may']
48,19.59,76,4,48,"['!H*', 'L-L%']","[19.33, 19.571283]",True,True,['raise']
49,19.85,76,1,49,[],[],False,False,['about']
50,20.23,76,1,50,['*?'],[20.01],False,False,['public']
51,20.76,76,4,51,"['H*', 'HiF0', 'L-H%']","[20.43, 20.463848, 20.7259]",True,True,['safety']
52,21.17,76,1,52,[],[],False,False,['are']
53,21.450001,76,2,53,"['H*', 'HiF0']","[21.360001, 21.378915]",True,False,['not']
54,21.74,76,1,54,[],[],False,False,['well']
55,22.35,76,4,55,"['!H*', 'L-L%']","[21.969999, 22.332323]",True,True,['founded']
56,23.01,76,2,56,"['H*', 'HiF0']","[22.860001, 22.879916]",True,False,['Most']
57,23.300001,76,1,57,[],[],False,False,['county']
58,23.65,76,1,58,[],[],False,False,['jail']
59,24.17,76,4,59,"['L*+H', 'L-L%']","[23.705, 24.121483]",True,True,['inmates']
60,24.32,76,1,60,[],[],False,False,['did']
61,24.55,76,1,61,['*?'],[24.455],False,False,['not']
62,24.889999,76,2,62,[],[],False,False,['commit']
63,25.32,76,1,63,"['H*', 'HiF0']","[25.059999, 25.143969]",True,False,['violent']
64,25.97,76,4,64,['L-L%'],[25.95381],False,True,['crimes']
65,26.34,76,1,65,[],[],False,False,"[""they're""]"
66,26.44,76,1,66,[],[],False,False,['in']
67,26.73,76,3,67,"['HiF0', 'H*', 'H-']","[26.542566, 26.57, 26.714139]",True,True,['jail']
68,27.049999,76,1,68,[],[],False,False,['for']
69,27.409999,76,1,69,[],[],False,False,['such']
70,27.780001,76,3,70,"['H*', 'HiF0', 'H-']","[27.525, 27.662042, 27.778666]",True,True,['things']
71,28.01,76,1,71,[],[],False,False,['as']
72,28.31,76,1,72,['H*'],[28.205],True,False,['bad']
73,28.9,76,4,73,"['HiF0', 'H*', 'L-L%']","[28.515455, 28.543969, 28.832881]",True,True,['checks']
74,29.03,76,1,74,[],[],False,False,['or']
75,29.559999,76,4,75,"['H*', 'HiF0', 'L-L%']","[29.285, 29.295361, 29.535692]",True,True,['stealing']
76,30.369999,76,1,76,[],[],False,False,['Those']
77,30.59,76,2,77,[],[],False,False,['on']
78,31.04,76,1,78,"['L*+H', 'HiF0']","[30.76, 30.816443]",True,False,['early']
79,31.540001,76,4,79,"['L*', 'L-H%']","[31.309999, 31.477307]",True,True,['release']
80,31.81,76,1,80,['H*'],[31.705419],True,False,['must']
81,32.039999,76,1,81,[],[],False,False,['check']
82,32.189999,76,1,82,[],[],False,False,['in']
83,32.32,76,2,83,[],[],False,False,['with']
84,32.769999,76,1,84,"['L+H*', 'HiF0']","[32.57, 32.578488]",True,False,['corrections']
85,33.330002,76,4,85,['L-H%'],[33.304614],False,True,['officials']
86,33.910002,76,1,86,"['HiF0', 'H*']","[33.694375, 33.695]",True,False,['fifty']
87,34.300001,76,2,87,['*?'],[34.084999],False,False,['times']
88,34.339998,76,1,88,[],[],False,False,['a']
89,34.730001,76,4,89,"['L+!H*', 'L-L%']","[34.544998, 34.670073]",False,True,['week']
90,35.149999,76,1,90,[],[],False,False,['according']
91,35.240001,76,1,91,[],[],False,False,['to']
92,35.660002,76,4,92,"['L*', 'L-H%']","[35.369999, 35.611243]",True,True,['Ash']
93,36.039999,76,1,93,[],[],False,False,['who']
94,36.349998,76,2,94,['H*'],[36.215],True,False,['says']
95,36.66,76,1,95,[],[],False,False,['about']
96,36.969999,76,2,96,"['L+H*', 'HiF0']","[36.810001, 36.852001]",True,False,['half']
97,37.07,76,1,97,[],[],False,False,['the']
98,37.789999,76,4-,98,['L-H%'],[37.704613],False,True,['contacts']
99,38.040001,76,1,99,[],[],False,False,['for']
100,38.110001,76,1,100,[],[],False,False,['a']
101,38.580001,76,1,101,['L+H*'],[38.415001],True,False,['select']
102,38.909999,76,4,102,"['HiF0', 'H*', 'H-L%']","[38.681796, 38.701877, 38.834999]",True,True,['group']
103,39.289999,76,1,103,[],[],False,False,['will']
104,39.540001,76,2,104,"['H*', 'HiF0']","[39.485008, 39.505088]",True,False,['now']
105,39.700001,76,1,105,[],[],False,False,['be']
106,40.019999,76,4,106,"['L*', 'L-H%']","[39.84068, 40.011513]",True,True,['made']
107,40.269998,76,1,107,[],[],False,False,['by']
108,40.389999,76,1,108,[],[],False,False,['the']
109,41.29,76,4-,109,"['L+H*', 'HiF0', 'L-H%']","[40.764999, 40.772725, 41.2212]",True,True,['computerized']
110,41.6,76,1,110,"['H*', 'HiF0']","[41.450001, 41.460475]",True,False,['phone']
111,42.15,76,4,111,"['!H*', 'L-L%']","[41.759998, 42.145044]",True,True,['calls']
112,43.060001,76,4,112,"['H*', 'HiF0', 'L-H%']","[42.73, 42.745613, 43.046441]",True,True,['Initially']
113,43.129999,76,1,113,[],[],False,False,['the']
114,43.619998,76,2,114,"['HiF0', 'H*']","[43.23758, 43.314999]",True,False,['program']
