,break_time,x,break,wrd_id,sylls,syll_times,prominent_unit,prominent_brk,unit
0,1.13,76,1,0,"['HiF0', '!H*', 'L-L%']","[0.426706, 0.755374, 0.984431]",True,False,['may']
1,1.35,76,1,1,['L*+H'],[1.262302],True,False,['now']
2,1.57,76,2,2,[],[],False,False,['have']
3,1.66,76,1,3,[],[],False,False,['the']
4,2.13,76,2,4,"['H*', 'HiF0']","[1.81429, 1.837347]",True,False,['toughest']
5,2.520076,76,2,5,['!H*'],[2.253627],True,False,['drunken']
6,2.92,76,1,6,['!H*'],[2.689209],True,False,['driving']
7,3.14,76,4,7,['L-L%'],[3.094751],False,True,['law']
8,3.27,76,1,8,[],[],False,False,['in']
9,3.34,76,1,9,[],[],False,False,['the']
10,3.84,76,4,10,"['H*', 'HiF0', 'L-L%']","[3.474008, 3.504011, 3.684289]",True,True,['nation']
11,4.19,76,2,11,[],[],False,False,['thanks']
12,4.3,76,1,12,[],[],False,False,['to']
13,4.39,76,1,13,[],[],False,False,['the']
14,4.75,76,1,14,[],[],False,False,['Safe']
15,4.99,76,1,15,"['H*', 'HiF0']","[4.814432, 4.834258]",True,False,['Roads']
16,5.32,76,4,16,['L-L%'],[5.171112],False,True,['Act']
17,5.38,76,1,17,[],[],False,False,['that']
18,5.79,76,1,18,[],[],False,False,['became']
19,6.02,76,3,19,"['H*', 'HiF0', '!H-']","[5.907374, 5.908463, 5.992715]",True,True,['law']
20,6.29,76,1,20,[],[],False,False,['this']
21,6.58,76,4,21,"['HiF0', 'H*', 'L-L%']","[6.340189, 6.3642, 6.459582]",True,True,['week']
22,7.13,76,1,22,[],[],False,False,['the']
23,7.64,76,2,23,"['H*', 'HiF0']","[7.183305, 7.20557]",True,False,['legislation']
24,7.83,76,1,24,[],[],False,False,['came']
25,8.2,76,3,25,"['H*', 'H-']","[8.106999, 8.16724]",True,True,['complete']
26,8.36,76,1,26,[],[],False,False,['with']
27,8.39,76,1,27,[],[],False,False,['a']
28,8.75,76,2,28,"['H*', 'HiF0']","[8.493544, 8.520829]",True,False,['message']
29,8.89,76,1,29,[],[],False,False,['from']
30,8.95,76,1,30,[],[],False,False,['the']
31,9.4,76,4,31,"['!H*', 'L-L%']","[9.075873, 9.316836]",True,True,['governor']
32,9.52,76,1,32,[],[],False,False,['to']
33,9.86,76,1,33,[],[],False,False,['{Those']
34,10.13,76,2,34,[],[],False,False,['seeking']
35,10.19,76,1,35,[],[],False,False,['a']
36,10.4,76,1,36,['L+H*'],[10.273495],True,False,['little']
37,10.65,76,1,37,['*?'],[10.60984],False,False,['too']
38,10.98,76,4,38,"['HiF0', 'H*', 'L-L%']","[10.727575, 10.762617, 10.96844]",True,True,['much']
39,11.38,76,2,39,"['HiF0', 'H*']","[11.144241, 11.146988]",True,False,['comfort']
40,11.55,76,1,40,[],[],False,False,['and']
41,11.9,76,4,41,"['!H*', 'L-L%']","[11.674096, 11.819678]",True,True,['joy']
42,12.14,76,1,42,[],[],False,False,['this']
43,12.57,76,1,43,['H*'],[12.256424],True,False,['holiday']
44,13.0,76,3,44,"['H*', 'HiF0', '!H-']","[12.67309, 12.720543, 12.934134]",True,True,['season']
45,13.13,76,1,45,[],[],False,False,['and']
46,13.62,76,4,46,"['HiF0', 'H*', 'L-L%']","[13.330719, 13.335739, 13.531522]",True,True,['beyond']
