,break_time,x,break,wrd_id
0,0.73,76,2,0
1,1.03,76,1,1
2,1.24,76,1,2
3,1.52,76,4,3
4,1.63,76,1,4
5,1.86,76,1,5
6,1.93,76,2-,6
7,2.15,76,1,7
8,2.42,76,1,8
9,2.63,76,4,9
10,2.78,76,1,10
11,2.93,76,1,11
12,3.24,76,2,12
13,3.66,76,1,13
14,3.71,76,1,14
15,4.35,76,4,15
16,4.76,76,1,16
17,4.97,76,2,17
18,5.07,76,1,18
19,5.54,76,3,19
20,5.62,76,1,20
21,6.2,76,1,21
22,6.49,76,2,22
23,6.87,76,1,23
24,7.33,76,4,24
25,7.44,76,1,25
26,7.64,76,1,26
27,7.69,76,1,27
28,8.27,76,3,28
29,8.5,76,1,29
30,8.8,76,1,30
31,9.07,76,4,31
32,9.37,76,2,32
33,9.56,76,1,33
34,9.65,76,1,34
35,9.85,76,1,35
36,10.24,76,4,36
37,10.72,76,1,37
38,10.94,76,2,38
39,11.3,76,3,39
40,11.38,76,1-,40
41,11.63,76,2-,41
42,11.71,76,1-,42
43,12.14,76,3,43
44,12.38,76,1-,44
45,12.49,76,1,45
46,12.73,76,1,46
47,13.02,76,4,47
48,13.75,76,1,48
49,14.36,76,4-,49
50,14.64,76,1,50
51,15.1,76,4,51
52,15.54,76,1,52
53,15.65,76,2,53
54,15.76,76,1-,54
55,15.93,76,1,55
56,15.98,76,1,56
57,16.24,76,3,57
58,16.309999,76,1-,58
59,16.51,76,1,59
60,16.94,76,4,60
61,17.129999,76,1,61
62,17.33,76,1,62
63,17.69,76,2,63
64,17.91,76,1,64
65,18.130001,76,1,65
66,18.48,76,4,66
67,19.04,76,1,67
68,19.46,76,4,68
69,19.6,76,1-,69
70,19.74,76,1,70
71,19.81,76,1-,71
72,20.09,76,2-,72
73,20.84,76,1,73
74,21.280001,76,4,74
75,21.440001,76,1-,75
76,21.5,76,1,76
77,21.879999,76,1,77
78,22.15,76,1,78
79,22.469999,76,4,79
80,22.85,76,1,80
81,23.040001,76,1,81
82,23.32,76,1,82
83,23.83,76,4,83
84,24.27,76,1,84
85,24.68,76,3,85
86,24.92,76,1,86
87,24.969999,76,1-,87
88,25.09,76,1,88
89,25.47,76,3,89
90,25.7,76,1,90
91,26.100001,76,2,91
92,26.25,76,1,92
93,26.680001,76,4,93
94,27.36,76,2,94
95,27.559999,76,1,95
96,27.86,76,2,96
97,28.02,76,1,97
98,28.41,76,2,98
99,28.550001,76,1,99
100,29.02,76,4,100
101,29.719999,76,1,101
102,29.870001,76,1,102
103,30.040001,76,1,103
104,30.370001,76,3,104
105,30.620001,76,1,105
106,30.73,76,1-,106
107,30.930001,76,2-,107
108,31.17,76,1,108
109,31.55,76,4,109
110,31.870001,76,1,110
111,32.03,76,1,111
112,32.519999,76,4,112
113,32.929998,76,1,113
114,32.980001,76,1,114
115,33.25,76,1,115
116,33.659998,76,4,116
117,34.120001,76,1-,117
118,34.209999,76,1,118
119,34.48,76,1,119
120,35.0,76,1,120
121,35.37,76,4,121
122,35.94,76,3-,122
123,36.31,76,2,123
124,36.620001,76,1,124
125,36.960001,76,3,125
126,37.200001,76,1,126
127,37.580002,76,4,127
128,38.090002,76,1-,128
129,38.210001,76,1,129
130,38.900002,76,3,130
131,39.22,76,2,131
132,39.320001,76,1,132
133,39.830001,76,3,133
134,39.990002,76,1,134
135,40.340002,76,1,135
136,40.789999,76,4,136
137,41.250002,76,1-,137
138,41.429999,76,1,138
139,41.72,76,2,139
140,41.799999,76,1,140
141,42.050001,76,1-,141
142,42.59,76,4,142
143,43.089998,76,1,143
144,43.19,76,1,144
145,43.570001,76,2,145
146,43.740002,76,1,146
147,43.85,76,1-,147
148,44.200001,76,4,148
149,44.960001,76,1,149
150,45.459999,76,3,150
151,45.620001,76,1,151
152,45.669998,76,1,152
153,46.1,76,4,153
154,46.850001,76,1,154
155,47.22,76,1,155
156,47.300001,76,3,156
157,47.529999,76,1-,157
158,47.59,76,1,158
159,47.960001,76,3,159
160,48.059999,76,1,160
161,48.200001,76,1,161
162,48.390001,76,1,162
163,48.76,76,3,163
164,48.919998,76,1,164
165,49.28,76,1,165
166,49.68,76,4,166
167,49.900002,76,1,167
168,50.279999,76,1,168
169,50.869999,76,4,169
170,51.219999,76,1,170
171,51.42,76,2,171
172,51.490002,76,1-,172
173,51.66,76,1-,173
174,51.949999,76,1,174
175,52.400002,76,4,175
176,52.83,76,1-,176
177,52.99,76,2-,177
178,53.25,76,1,178
179,53.640001,76,3,179
180,53.959999,76,1,180
181,54.050001,76,1-,181
182,54.399999,76,3,182
183,54.870002,76,4,183
184,55.55,76,1,184
185,55.98,76,1,185
186,56.28,76,4,186
187,56.360001,76,1,187
188,56.539999,76,1,188
189,56.84,76,3-,189
190,57.039999,76,1-,190
191,57.180002,76,2-,191
192,57.4,76,1,192
193,57.49,76,1-,193
194,58.009999,76,4,194
195,58.190001,76,1,195
196,58.280001,76,1,196
197,58.459999,76,2p,197
198,58.909998,76,1,198
199,59.08,76,4,199
200,59.300001,76,1,200
201,59.43,76,1,201
202,60.049999,76,4-,202
203,60.22,76,1,203
204,60.35,76,1,204
205,60.700001,76,1,205
206,61.289999,76,4,206
