,peak_time,x,ton,syl_id,wrd_id,prominent_syll
0,0.351405,115,HiF0,0,0,False
1,0.838352,115,L-,1,0,False
2,1.490962,115,H*,2,3,True
3,1.495982,115,HiF0,3,3,False
4,1.736945,115,L-,4,3,False
5,1.912648,115,H*,5,4,True
6,1.917668,115,HiF0,6,4,False
7,2.279113,115,!H*,7,4,True
8,2.720879,115,H*,8,5,True
9,3.157626,115,L-L%,9,5,False
10,3.880845,115,H*,10,7,True
11,3.915656,115,HiF0,11,7,False
12,4.513374,115,L-H%,12,8,False
13,4.780196,115,H*,13,10,True
14,4.93583,115,HiF0,14,10,False
15,5.496345,115,!H*,15,12,True
16,5.812609,115,L-,16,12,False
17,6.55558,115,H*,17,15,True
18,6.876864,115,H*,18,15,True
19,6.883639,115,HiF0,19,15,False
20,7.26843,115,!H*,20,16,True
21,7.434093,115,L-L%,21,16,False
22,8.172043,115,H*,22,19,True
23,8.223998,115,HiF0,23,19,False
24,8.407987,115,L-L%,24,19,False
25,9.416404,115,H*,25,20,True
26,9.468338,115,HiF0,26,20,False
27,9.794115,115,L-,27,21,False
28,10.109174,115,H*,28,23,True
29,10.136008,115,HiF0,29,23,False
30,10.439881,115,!H-,30,23,False
31,11.112571,115,L+H*,31,26,True
32,11.135003,115,HiF0,32,26,False
33,11.293293,115,!H*,33,27,True
34,11.624618,115,L-,34,27,False
35,12.081445,115,L*,35,30,True
36,12.156746,115,L-H%,36,30,False
37,12.583452,115,H+!H*,37,33,False
38,12.608552,115,HiF0,38,33,False
39,13.15072,115,!H*,39,34,True
40,13.241081,115,L-L%,40,34,False
41,14.29061,115,H*,41,36,True
42,14.300317,115,HiF0,42,36,False
43,14.702256,115,L-,43,37,False
44,14.908079,115,H*,44,38,True
45,15.284584,115,L+H*,45,39,True
46,15.297911,115,HiF0,46,39,False
47,15.415106,115,L-,47,39,False
48,15.585789,115,H*,48,40,True
49,16.030841,115,HiF0,49,42,False
50,16.037595,115,H*,50,42,True
51,16.223338,115,L-L%,51,42,False
52,16.864173,115,H*,52,44,True
53,16.889273,115,HiF0,53,44,False
54,16.959555,115,<,54,45,False
55,17.190478,115,*?,55,46,False
56,17.210558,115,L-,56,46,False
57,17.416381,115,H*,57,47,True
58,17.436461,115,HiF0,58,47,False
59,18.03887,115,L-,59,47,False
60,18.652692,115,H*,60,50,True
61,18.713626,115,HiF0,61,50,False
62,19.360522,115,!H*,62,52,True
63,19.726987,115,L-H%,63,52,False
64,20.364794,115,H*,64,54,True
65,20.37527,115,HiF0,65,54,False
66,20.585677,115,!H-,66,55,False
67,21.388889,115,L+H*,67,58,True
68,21.419445,115,HiF0,68,58,False
69,21.870815,115,!H*,69,59,True
70,22.20716,115,L-L%,70,59,False
71,23.050262,115,H*,71,63,True
72,23.301009,115,HiF0,72,65,False
73,23.301265,115,H*,73,65,True
74,23.466928,115,L-H%,74,65,False
75,24.31532,115,H*,75,69,True
76,24.335144,115,HiF0,76,69,False
77,24.792227,115,*?,77,70,False
78,25.00809,115,L-L%,78,70,False
79,25.50844,115,L*,79,72,True
80,25.945187,115,H*,80,73,True
81,25.980417,115,HiF0,81,73,False
82,26.334415,115,L-,82,73,False
83,26.836423,115,H*,83,76,True
84,26.88905,115,HiF0,84,76,False
85,27.102486,115,L-L%,85,76,False
86,28.03699,115,HiF0,86,79,False
87,28.07326,115,H*,87,79,True
88,28.399565,115,!H-,88,81,False
89,28.690729,115,H*,89,83,True
90,28.71972,115,HiF0,90,83,False
91,29.308198,115,!H*,91,85,True
92,29.738961,115,L+!H*,92,86,False
93,30.080326,115,L-L%,93,86,False
94,30.326309,115,H*,94,87,True
95,30.843377,115,H*,95,90,True
96,30.888391,115,HiF0,96,90,False
97,31.77209,115,L-H%,97,91,False
98,32.513056,115,H*,98,93,True
99,32.575121,115,HiF0,99,93,False
100,32.95214,115,L-,100,93,False
101,33.43173,115,H*,101,95,True
102,34.091183,115,HiF0,102,97,False
103,34.104419,115,H*,103,97,True
104,34.234941,115,L-L%,104,97,False
105,34.767673,115,H*,105,98,True
106,34.786622,115,HiF0,106,98,False
107,35.324901,115,L-H%,107,100,False
108,35.490563,115,*?,108,101,False
109,35.716467,115,H*,109,102,True
110,35.740436,115,HiF0,110,102,False
111,35.93233,115,L-,111,102,False
112,36.403086,115,HiF0,112,104,False
113,36.409237,115,L+H*,113,104,True
114,36.534738,115,L-L%,114,104,False
115,37.156263,115,H*,115,105,True
116,37.186217,115,HiF0,116,105,False
117,37.507668,115,!H*,117,106,True
118,37.813893,115,!H*,118,107,True
119,38.069916,115,L-,119,107,False
120,38.892334,115,HiF0,120,111,False
121,38.893208,115,L+H*,121,111,True
122,39.299834,115,L-H%,122,112,False
123,39.737606,115,H*,123,114,True
124,40.134192,115,H*,124,116,True
125,40.149087,115,HiF0,125,116,False
126,40.355075,115,L-,126,116,False
127,40.701295,115,HiF0,127,117,False
128,40.761701,115,H*,128,117,True
129,41.012705,115,L-L%,129,117,False
130,41.610093,115,H*,130,119,True
131,42.458486,115,H*,131,123,True
132,42.490763,115,HiF0,132,123,False
133,43.146236,115,L-L%,133,125,False
134,43.978604,115,L+H*,134,129,True
135,44.006825,115,HiF0,135,129,False
136,44.749358,115,L-H%,136,130,False
137,45.2801,115,H*,137,132,True
138,45.596364,115,H*,138,134,True
139,45.610898,115,HiF0,139,134,False
140,46.019437,115,L-H%,140,135,False
141,46.648319,115,L+H*,141,139,True
142,47.054945,115,L+H*,142,140,True
143,47.081779,115,HiF0,143,140,False
144,47.300581,115,L-,144,140,False
145,47.747715,115,L*,145,143,True
146,48.13928,115,H*,146,144,True
147,48.151054,115,HiF0,147,144,False
148,48.344756,115,L-L%,148,144,False
149,49.824111,115,HiF0,149,149,False
150,49.831377,115,H*,150,149,True
151,49.921738,115,H-,151,149,False
152,50.07234,115,H*,152,150,True
153,50.853226,115,HiF0,153,153,False
154,50.870532,115,H*,154,153,True
155,51.031174,115,L-L%,155,153,False
156,51.636176,115,H*,156,155,True
157,51.656423,115,HiF0,157,155,False
158,52.344007,115,!H*,158,159,True
159,52.665291,115,H*,159,160,True
160,53.418302,115,H*,160,161,True
161,53.669306,115,L-L%,161,161,False
162,54.275771,115,H*,162,163,True
163,54.286941,115,HiF0,163,163,False
164,54.571956,115,H*,164,164,True
165,54.737618,115,!H-,165,164,False
166,55.269746,115,L+H*,166,166,True
167,55.56593,115,H*,167,167,True
168,55.58212,115,HiF0,168,167,False
169,55.937415,115,L-L%,169,167,False
170,56.638751,115,H*,170,172,True
171,56.665838,115,HiF0,171,172,False
172,56.910525,115,L*,172,173,True
173,57.186629,115,L-H%,173,173,False
174,58.15178,115,HiF0,174,177,False
175,58.170563,115,L+H*,175,177,True
176,58.281005,115,L-H%,176,177,False
177,58.943713,115,L*,177,178,True
178,59.842306,115,L-H%,178,180,False
179,60.08829,115,H*,179,181,True
180,60.10837,115,HiF0,180,181,False
181,60.374434,115,L-L%,181,181,False
182,60.82624,115,L*,182,183,True
183,61.132465,115,HiF0,183,185,False
184,61.290917,115,H+!H*,184,185,False
185,61.524031,115,L-L%,185,185,False
