,peak_time,x,ton,syl_id,wrd_id,prominent_syll
0,1.290159,115,HiF0,0,0,False
1,1.755808,115,L-,1,0,False
2,2.310804,115,X*?,2,1,False
3,2.441985,115,L-H%,3,1,False
4,3.047436,115,L+H*,4,4,True
5,3.057224,115,HiF0,5,4,False
6,3.607478,115,!H*,6,6,True
7,3.849658,115,L-,7,6,False
8,4.041385,115,H*,8,7,True
9,4.056219,115,HiF0,9,7,False
10,4.793153,115,L-H%,10,8,False
11,5.384149,115,H*,11,9,True
12,5.395035,115,HiF0,12,9,False
13,5.792829,115,!H*,13,10,True
14,6.009782,115,L-,14,10,False
15,6.635414,115,L*,15,13,True
16,6.837231,115,L-H%,16,13,False
17,7.303886,115,H*,17,15,True
18,7.312702,115,HiF0,18,15,False
19,7.995109,115,!H*,19,17,True
20,8.079957,115,H-,20,17,False
21,8.256547,115,H*,21,18,True
22,8.269807,115,HiF0,22,18,False
23,8.988133,115,!H*,23,20,True
24,9.24545,115,L-L%,24,20,False
25,10.174259,115,L+H*,25,23,True
26,10.192495,115,HiF0,26,23,False
27,10.698983,115,L-L%,27,24,False
28,11.289298,115,H*,28,27,True
29,11.692932,115,H*,29,28,True
30,11.718512,115,HiF0,30,28,False
31,11.803931,115,L-L%,31,28,False
32,12.263065,115,H*,32,31,True
33,12.651562,115,H*,33,31,True
34,12.677346,115,HiF0,34,31,False
35,13.095559,115,L*,35,32,True
36,13.433603,115,L-H%,36,32,False
37,13.886142,115,HiF0,37,33,False
38,13.896182,115,H*,38,33,True
39,14.320948,115,H*,39,35,True
40,14.497538,115,L-,40,35,False
41,15.213988,115,L*,41,37,True
42,15.461214,115,L-H%,42,37,False
43,16.080048,115,HiF0,43,39,False
44,16.117119,115,L+H*,44,39,True
45,16.49048,115,L-L%,45,39,False
46,16.831269,115,H*,46,40,True
47,16.843563,115,HiF0,47,40,False
48,17.275266,115,L-H%,48,40,False
49,17.623401,115,H*,49,42,True
50,17.641754,115,HiF0,50,42,False
51,18.233897,115,L-L%,51,43,False
52,19.45791,115,H*,52,45,True
53,19.482029,115,HiF0,53,45,False
54,19.679909,115,L-,54,45,False
55,20.058316,115,H*,55,47,True
56,20.355521,115,HiF0,56,48,False
57,20.401405,115,H*,57,48,True
58,20.739448,115,L-L%,58,48,False
59,21.46424,115,L+H*,59,51,True
60,21.490058,115,HiF0,60,51,False
61,22.074736,115,L*,61,54,True
62,22.438007,115,L-H%,62,54,False
63,22.962731,115,L+H*,63,56,True
64,22.968155,115,HiF0,64,56,False
65,23.12923,115,L-,65,56,False
66,23.865862,115,H*,66,58,True
67,23.879526,115,HiF0,67,58,False
68,24.138315,115,L-L%,68,58,False
69,25.28038,115,L+H*,69,61,True
70,25.305227,115,HiF0,70,61,False
71,25.567969,115,L-L%,71,61,False
72,25.900967,115,H*,72,62,True
73,26.461009,115,H*,73,63,True
74,26.486532,115,HiF0,74,63,False
75,26.696645,115,L-,75,63,False
76,27.091687,115,H*,76,64,True
77,27.109021,115,HiF0,77,64,False
78,27.604822,115,!H*,78,66,True
79,27.811684,115,L-,79,66,False
80,28.53318,115,L+H*,80,69,True
81,28.554802,115,HiF0,81,69,False
82,28.755178,115,L-H%,82,69,False
83,29.914389,115,H*,83,73,True
84,29.93062,115,HiF0,84,73,False
85,30.196933,115,L-,85,73,False
86,30.676248,115,H*,86,75,True
87,30.693671,115,HiF0,87,75,False
88,30.984019,115,!H*,88,76,True
89,31.135382,115,L-L%,89,76,False
90,31.737064,115,H*,90,77,True
91,31.783027,115,HiF0,91,77,False
92,32.181062,115,!H*,92,77,True
93,32.665422,115,L-H%,93,78,False
94,33.013557,115,H*,94,79,True
95,33.3516,115,H*,95,80,True
96,33.376338,115,HiF0,96,80,False
97,33.64928,115,L-H%,97,80,False
98,34.088232,115,H*,98,82,True
99,34.749182,115,L+H*,99,83,True
100,34.766898,115,HiF0,100,83,False
101,35.324361,115,L-L%,101,84,False
102,35.96338,115,L+H*,102,86,True
103,35.968253,115,HiF0,103,86,False
104,36.20556,115,L-,104,87,False
105,36.478013,115,L+H*,105,88,True
106,37.204554,115,L+H*,106,90,True
107,37.238332,115,HiF0,107,90,False
108,37.406371,115,L-L%,108,90,False
109,37.88628,115,H*,109,92,True
110,37.906001,115,HiF0,110,92,False
111,38.421094,115,H*,111,93,True
112,38.744002,115,L-L%,112,93,False
113,39.082045,115,H*,113,94,True
114,39.098045,115,HiF0,114,94,False
115,39.324225,115,!H*,115,95,True
116,39.546224,115,L-L%,116,95,False
