,break_time,x,break,wrd_id
0,1.55,76,2,0
1,1.66,76,1-,1
2,1.72,76,1-,2
3,2.27,76,4,3
4,2.39,76,1,4
5,2.59,76,1-,5
6,2.73,76,2,6
7,2.96,76,1,7
8,3.33,76,2,8
9,3.44,76,1,9
10,3.91,76,4,10
11,4.09,76,1,11
12,4.44,76,2,12
13,4.96,76,1,13
14,5.08,76,1-,14
15,5.73,76,4,15
16,6.17,76,2-,16
17,6.83,76,1,17
18,6.9,76,1,18
19,7.31,76,3,19
20,7.68,76,1,20
21,8.19,76,4,21
22,8.42,76,1,22
23,8.79,76,2,23
24,8.91,76,1,24
25,9.08,76,1,25
26,9.54,76,4,26
27,9.9,76,1,27
28,10.33,76,4,28
29,10.8,76,1,29
30,11.24,76,1,30
31,11.56,76,1,31
32,12.04,76,4,32
33,12.86,76,4,33
34,13.08,76,2-,34
35,13.59,76,1,35
36,14.0,76,4,36
37,14.43,76,1,37
38,14.84,76,3,38
39,15.13,76,2,39
40,15.27,76,1,40
41,16.07,76,4,41
42,16.43,76,1,42
43,16.599999,76,1,43
44,17.03,76,4,44
45,17.77,76,1,45
46,18.83,76,4,46
47,19.210001,76,1,47
48,19.52,76,1,48
49,20.29,76,4,49
