,break_time,x,break,wrd_id
0,0.704071,123,1,0
1,1.116612,123,1,1
2,1.644665,123,3,2
3,2.057207,123,1,3
4,2.150716,123,1,4
5,2.656767,123,1,5
6,3.19582,123,1,6
7,3.712873,123,4,7
8,4.279429,123,1,8
9,4.807482,123,1-,9
10,4.895491,123,1,10
11,5.522554,123,4-,11
12,5.913091,123,1,12
13,6.215622,123,2,13
14,6.573158,123,1,14
15,7.112212,123,3-,15
16,7.299231,123,1,16
17,7.733774,123,1,17
18,7.926294,123,1-,18
19,7.9868,123,1-,19
20,8.404842,123,4,20
21,9.405941,123,3,21
22,9.554456,123,1,22
23,10.203521,123,1,23
24,10.665567,123,3,24
25,10.962597,123,1,25
26,11.446646,123,1,26
27,11.534655,123,1-,27
28,11.628164,123,1-,28
29,12.172719,123,4,29
30,12.612763,123,1,30
31,12.898791,123,1,31
32,13.272829,123,4-,32
33,13.432345,123,1,33
34,13.734875,123,1,34
35,13.949397,123,1,35
36,14.290431,123,1,36
37,15.011003,123,4,37
38,15.539055,123,1,38
39,15.781079,123,1,39
40,15.924093,123,1-,40
41,16.023103,123,1-,41
42,16.446646,123,3-,42
43,17.057207,123,1,43
44,17.535755,123,4,44
45,18.374962,123,1,45
46,18.591859,123,3,46
47,19.009551,123,1,47
48,19.075557,123,1,48
49,19.471597,123,1,49
50,19.862136,123,1,50
51,20.258527,123,4,51
52,20.637713,123,1,52
53,20.841233,123,1,53
54,21.292279,123,1,54
55,21.732323,123,4,55
56,21.941344,123,2-,56
57,22.474897,123,1,57
58,22.837934,123,3,58
59,22.98467,123,1,59
60,23.673333,123,3-,60
61,23.91589,123,1,61
62,24.356904,123,1,62
63,24.689841,123,3,63
64,24.849357,123,1,64
65,25.492922,123,4,65
