,break_time,x,break,wrd_id
0,0.863587,123,3,0
1,1.207276,123,1,1
2,1.732674,123,4,2
3,2.001101,123,2-,3
4,2.188532,123,1,4
5,2.563257,123,3,5
6,2.750825,123,1,6
7,3.120174,123,1,7
8,3.68798,123,1,8
9,4.565459,123,4,9
10,4.680522,123,1-,10
11,5.160124,123,1-,11
12,5.479859,123,1,12
13,5.749981,123,1,13
14,6.435645,123,4,14
15,6.543806,123,1,15
16,6.907643,123,3,16
17,7.039947,123,1,17
18,7.387245,123,1,18
19,8.188026,123,4-,19
20,8.296839,123,1,20
21,8.71029,123,1,21
22,9.106619,123,4,22
23,9.669496,123,0,23
24,9.774236,123,1,24
25,10.016794,123,1,25
26,10.656265,123,1,26
27,10.755504,123,1,27
28,10.821645,123,1,28
29,11.433351,123,4-,29
30,11.554846,123,1-,30
31,11.83048,123,1,31
32,11.946246,123,1-,32
33,12.0565,123,1-,33
34,12.354184,123,1-,34
35,12.522459,123,1,35
36,12.629818,123,1,36
37,13.540062,123,4,37
38,13.792995,123,1,38
39,14.172625,123,3,39
40,14.603358,123,2-,40
41,14.636434,123,1,41
42,15.022322,123,1,42
43,15.690778,123,4,43
44,16.49972,123,1,44
45,16.708377,123,3,45
46,16.924196,123,1,46
47,17.321109,123,3-,47
48,17.729047,123,2-,48
49,18.006508,123,3,49
50,18.164548,123,1,50
51,18.236213,123,1,51
52,18.660689,123,1,52
53,18.991449,123,1,53
54,19.23952,123,1-,54
55,19.344261,123,1,55
56,20.054272,123,4,56
57,20.187703,123,1,57
58,20.364109,123,1,58
59,20.667306,123,3-,59
60,20.843712,123,1,60
61,21.605428,123,4,61
62,21.929709,123,1,62
63,22.205342,123,1-,63
64,22.387261,123,3-,64
65,22.492002,123,1-,65
66,22.569179,123,1-,66
67,23.114934,123,2-,67
68,23.44536,123,4-,68
69,23.732356,123,1-,69
70,23.875686,123,1,70
71,24.245035,123,1,71
72,24.820563,123,4,72
73,25.683843,123,1-,73
74,25.727945,123,1-,74
75,26.242014,123,3,75
76,26.775353,123,1,76
77,27.22188,123,1,77
78,27.339036,123,3,78
79,27.536104,123,1-,79
80,27.950943,123,4,80
81,28.379543,123,1-,81
82,28.704791,123,1,82
83,29.103096,123,3,83
84,29.614382,123,1-,84
85,29.814231,123,4,85
86,29.972706,123,1-,86
87,30.127061,123,1-,87
88,30.705892,123,1-,88
89,31.141393,123,1,89
90,31.346755,123,4-,90
91,31.53831,123,1-,91
92,31.593436,123,1-,92
93,31.753304,123,1-,93
94,31.940735,123,1,94
95,32.414902,123,4,95
96,32.580205,123,1-,96
97,32.62982,123,1-,97
98,32.87789,123,1,98
99,33.396158,123,4,99
100,34.569764,123,3-,100
101,34.828859,123,1-,101
102,35.347051,123,1,102
103,35.953445,123,4,103
