,break_time,x,break,wrd_id
0,0.576497,123,3,0
1,0.687362,123,1,1
2,0.964525,123,1,2
3,1.391354,123,1,3
4,1.45233,123,1,4
5,1.507763,123,1,5
6,1.701776,123,1,6
7,1.940136,123,1,7
8,2.222841,123,3,8
9,2.49446,123,1-,9
10,2.549893,123,1,10
11,2.90466,123,3,11
12,3.708431,123,1,12
13,3.824839,123,1-,13
14,3.902444,123,1,14
15,4.212866,123,1,15
16,4.695128,123,4,16
17,4.872506,123,1,17
18,5.060977,123,1,18
19,5.310423,123,4-,19
20,6.10865,123,4-,20
21,6.274145,123,1,21
22,6.77384,123,3,22
23,7.583154,123,4,23
24,8.380574,123,1,24
25,9.046566,123,3,25
26,9.157117,123,1-,26
27,9.190376,123,1,27
28,9.750558,123,2-,28
29,10.210647,123,4,29
30,10.29834,123,1,30
31,11.119739,123,4-,31
32,11.292973,123,1,32
33,11.673348,123,1,33
34,12.037184,123,1,34
35,12.747902,123,4,35
