,break_time,x,break,wrd_id
0,0.311111,123,1,0
1,0.488889,123,1,1
2,0.849999,123,3-,2
3,0.988888,123,1-,3
4,1.516666,123,1,4
5,2.055554,123,3-,5
6,2.447628,123,2-,6
7,3.044443,123,1,7
8,3.704518,123,4-,8
9,3.86111,123,1,9
10,3.966666,123,1,10
11,4.199999,123,1,11
12,4.344443,123,1,12
13,5.121013,123,4,13
14,5.544443,123,1,14
15,5.874589,123,3,15
16,6.394442,123,1,16
17,6.649998,123,2-,17
18,6.899997,123,1,18
19,7.073709,123,4,19
20,7.983332,123,1,20
21,8.088888,123,1-,21
22,8.177776,123,1-,22
23,8.56111,123,1,23
24,9.311109,123,1,24
25,9.532454,123,4,25
26,9.97222,123,1-,26
27,10.144442,123,1,27
28,10.455553,123,1,28
29,11.094611,123,4,29
30,12.084553,123,3,30
31,12.183332,123,1,31
32,12.927776,123,1,32
33,13.72222,123,1,33
34,13.87222,123,1,34
35,14.628996,123,3,35
36,14.933332,123,1,36
37,15.022221,123,1,37
38,15.390109,123,3,38
39,15.444443,123,1,39
40,16.011109,123,1,40
41,16.133331,123,1,41
42,16.567886,123,4,42
43,17.240109,123,3-,43
44,17.51111,123,1,44
45,18.049998,123,1,45
46,18.716664,123,1-,46
47,18.794442,123,1,47
48,18.983331,123,1,48
49,19.388886,123,1,49
50,19.544442,123,1,50
51,20.21233,123,4-,51
52,20.355554,123,1,52
53,20.706776,123,3,53
54,20.866665,123,1-,54
55,21.338887,123,1,55
56,22.062331,123,4-,56
57,22.388886,123,1,57
58,22.895664,123,4,58
59,23.554034,123,1,59
60,23.815145,123,1-,60
61,23.954034,123,1,61
62,24.3207,123,1,62
63,24.665144,123,3-,63
64,25.004033,123,0,64
65,25.398477,123,0,65
66,25.53181,123,1,66
67,26.11233,123,4,67
68,26.331811,123,1-,68
69,26.448478,123,1-,69
70,26.779036,123,1,70
71,26.84848,123,1-,71
72,27.284594,123,1-,72
73,27.695664,123,4,73
74,28.44339,123,1,74
75,28.678997,123,3,75
76,28.78253,123,1,76
77,29.444051,123,0,77
78,29.554305,123,1,78
79,29.934679,123,1,79
80,30.276465,123,1,80
81,30.784551,123,3,81
82,30.910425,123,1-,82
83,31.434129,123,0,83
84,31.549895,123,1-,84
85,31.836555,123,3-,85
86,32.227955,123,1,86
87,32.481538,123,4-,87
88,32.624867,123,1,88
89,33.027293,123,1,89
90,33.473442,123,4,90
91,34.003038,123,1-,91
92,34.058163,123,1-,92
93,34.526741,123,1-,93
94,34.711415,123,1-,94
95,35.204802,123,3-,95
96,35.968283,123,1,96
97,36.299044,123,1,97
98,36.812331,123,4,98
99,36.949542,123,1,99
100,37.203126,123,3-,100
101,37.484272,123,1,101
102,37.721317,123,1,102
103,38.117885,123,4,103
104,38.708086,123,2-,104
105,38.989232,123,1,105
106,39.380632,123,1,106
107,40.017884,123,4,107
108,41.268272,123,3-,108
109,42.66165,123,4,109
