,break_time,x,break,wrd_id,sylls,syll_times,prominent_unit,prominent_brk,unit
0,0.311111,123,1,0,"['H*', 'HiF0']","[0.238889, 0.272222]",True,False,['More']
1,0.488889,123,1,1,[],[],False,False,['than']
2,0.849999,123,3-,2,"['!H*', 'H-']","[0.655555, 0.838888]",True,True,['half']
3,0.988888,123,1-,3,[],[],False,False,['of']
4,1.516666,123,1,4,"['H*', '<']","[1.227777, 1.299999]",True,False,"[""America's""]"
5,2.055554,123,3-,5,"['H*', 'HiF0', '!H-']","[1.722221, 1.76111, 1.938888]",True,True,"['youngsters', 'have']"
6,2.447628,123,2-,6,[],[],False,False,['had']
7,3.044443,123,1,7,"['HiF0', 'L+H*']","[2.616665, 2.649998]",True,False,['sexual']
8,3.704518,123,4-,8,"['L+!H*', 'L-H%']","[3.088887, 3.616664]",False,True,['intercourse']
9,3.86111,123,1,9,[],[],False,False,['by']
10,3.966666,123,1,10,[],[],False,False,['the']
11,4.199999,123,1,11,['H*'],[4.144444],True,False,['time']
12,4.344443,123,1,12,[],[],False,False,"[""they're""]"
13,5.121013,123,4,13,"['L+H*', 'L+H*', 'L-L%']","[4.56111, 4.922221, 5.016665]",True,True,['seventeen']
14,5.544443,123,1,14,[],[],False,False,['and']
15,5.874589,123,3,15,"['H*', 'HiF0', '!H-']","[5.655554, 5.655554, 5.794443]",True,True,['many']
16,6.394442,123,1,16,"['HiF0', 'H*']","[6.166665, 6.17222]",True,False,['seldom']
17,6.649998,123,2-,17,[],[],False,False,['use/v']
18,6.899997,123,1,18,['L+!H*'],[6.827775],False,False,['birth']
19,7.073709,123,4,19,['L-L%'],[7.061108],False,True,['control']
20,7.983332,123,1,20,['H*'],[7.822221],True,False,['according']
21,8.088888,123,1-,21,[],[],False,False,['to']
22,8.177776,123,1-,22,[],[],False,False,['a']
23,8.56111,123,1,23,['H*'],[8.288888],True,False,['recent']
24,9.311109,123,1,24,"['H*', 'H*', 'HiF0']","[8.688887, 9.027776, 9.038887]",True,False,['Lewis-Harris']
25,9.532454,123,4,25,['L-H%'],[9.52222],False,True,['poll']
26,9.97222,123,1-,26,['H*'],[9.799998],True,False,['sponsored']
27,10.144442,123,1,27,[],[],False,False,['by']
28,10.455553,123,1,28,['H*'],[10.32222],True,False,['planned']
29,11.094611,123,4,29,"['H*', 'HiF0', 'L-L%']","[10.616664, 10.638886, 10.794442]",True,True,"['parenthood', '>brth']"
30,12.084553,123,3,30,"['H*', 'HiF0', '<', '-X?']","[11.666665, 11.827776, 11.827776, 11.988887]",True,True,['Advocates/n']
31,12.183332,123,1,31,[],[],False,False,['of']
32,12.927776,123,1,32,"['L+H*', 'HiF0', '<']","[12.599998, 12.82222, 12.844443]",True,False,['dispensing']
33,13.72222,123,1,33,"['H+!H*', '!H*']","[13.083331, 13.57222]",True,False,['contraceptives']
34,13.87222,123,1,34,[],[],False,False,['in']
35,14.628996,123,3,35,"['L+!H*', 'L-']","[14.161108, 14.344442]",False,True,['schools']
36,14.933332,123,1,36,"['H*', 'HiF0']","[14.816666, 14.822221]",True,False,['see']
37,15.022221,123,1,37,[],[],False,False,['the']
38,15.390109,123,3,38,"['L+!H*', 'H-']","[15.199999, 15.377776]",False,True,['poll']
39,15.444443,123,1,39,[],[],False,False,['as']
40,16.011109,123,1,40,"['HiF0', 'H*']","[15.766665, 15.811109]",True,False,['supporting']
41,16.133331,123,1,41,[],[],False,False,['their']
42,16.567886,123,4,42,['L-L%'],[16.338887],False,True,['case']
43,17.240109,123,3-,43,"['H*', 'HiF0', '!H-']","[17.038888, 17.038888, 17.21111]",True,True,['Others']
44,17.51111,123,1,44,[],[],False,False,['say']
45,18.049998,123,1,45,['L+H*'],[17.672221],True,False,['easier']
