,peak_time,x,ton,syl_id,wrd_id,prominent_syll
0,0.280528,115,H*,0,0,True
1,0.324533,115,HiF0,1,0,False
2,0.59956,115,*?,2,1,False
3,1.380639,115,L+!H*,3,3,False
4,1.529154,115,L-L%,4,3,False
5,2.073708,115,L+H*,5,6,True
6,2.073708,115,HiF0,6,6,False
7,2.975799,115,L-L%,7,10,False
8,3.536854,115,HiF0,8,12,False
9,3.547855,115,L+H*,9,12,True
10,3.883389,115,!H*,10,13,True
11,4.444445,115,L+!H*,11,13,False
12,4.719473,115,L-L%,12,13,False
13,4.994499,115,H*,13,14,True
14,5.016312,115,HiF0,14,14,False
15,5.736885,115,L+!H*,15,17,False
16,5.923903,115,-?,16,17,False
17,6.743486,115,L+H*,17,20,True
18,7.497061,115,L-H%,18,21,False
19,8.146126,115,H*,19,22,True
20,8.146126,115,HiF0,20,22,False
21,8.833695,115,L-H%,21,23,False
22,9.279429,115,-?,22,25,False
23,9.730285,115,H*,23,27,True
24,9.730285,115,HiF0,24,27,False
25,10.131825,115,L-L%,25,27,False
26,10.401351,115,H*,26,28,True
27,10.68738,115,H*,27,29,True
28,10.934905,115,H*,28,31,True
29,11.242936,115,HiF0,29,31,False
30,11.259438,115,H*,30,31,True
31,11.429955,115,L-L%,31,31,False
32,12.172529,115,HiF0,32,32,False
33,12.189031,115,H*,33,32,True
34,12.656578,115,!H-,34,34,False
35,13.118624,115,L+H*,35,36,True
36,13.118624,115,HiF0,36,36,False
37,13.833696,115,L+!H*,37,40,False
38,14.224235,115,L-H%,38,41,False
39,14.746785,115,L+H*,39,43,True
40,14.831708,115,-?,40,43,False
41,15.896401,115,L+H*,41,49,True
42,15.896401,115,HiF0,42,49,False
43,16.231935,115,L-H%,43,49,False
44,16.770989,115,H*,44,52,True
45,16.770989,115,HiF0,45,52,False
46,17.090021,115,H-,46,52,False
47,17.260538,115,H*,47,53,True
48,17.502562,115,>,48,53,False
49,17.502562,115,HiF0,49,53,False
50,17.827095,115,H+!H*,50,54,False
51,18.349647,115,L-L%,51,54,False
