,break_time,x,break,wrd_id
0,0.578831,123,1,0
1,1.196251,123,1,1
2,1.361631,123,1-,2
3,1.438808,123,1-,3
4,1.916665,123,3-,4
5,2.034177,123,1-,5
6,2.282248,123,0,6
7,2.409039,123,3-,7
8,2.651597,123,1,8
9,3.054022,123,1,9
10,3.125687,123,1,10
11,3.505553,123,3,11
12,3.674344,123,1,12
13,3.95549,123,1,13
14,4.402017,123,0,14
15,4.49022,123,1-,15
16,5.26111,123,4,16
17,5.416349,123,1,17
18,6.116459,123,1,18
19,6.193636,123,1,19
20,6.513372,123,1,20
21,6.849645,123,1,21
22,7.277776,123,3,22
23,7.428479,123,1-,23
24,7.748214,123,1,24
25,7.880518,123,1-,25
26,7.985259,123,1-,26
27,8.354608,123,1,27
28,8.696394,123,1,28
29,9.049999,123,4,29
30,9.644574,123,1,30
31,10.058025,123,3-,31
32,10.372247,123,1,32
33,10.866664,123,4,33
34,11.438886,123,3,34
35,11.546449,123,1,35
36,12.015027,123,1,36
37,12.472221,123,4,37
38,12.930131,123,1-,38
39,13.293967,123,1,39
40,13.44281,123,1,40
41,13.569601,123,1,41
42,14.211109,123,4-,42
43,14.468167,123,1,43
44,14.661111,123,1,44
45,14.888886,123,4,45
46,15.44157,123,1,46
47,16.383686,123,4,47
48,16.731536,123,1-,48
49,17.045758,123,1,49
50,17.78924,123,4,50
