,break_time,x,break,wrd_id,sylls,syll_times,prominent_unit,prominent_brk,unit
0,1.72,76,1,0,[],[],False,False,"['In', 'nineteen']"
1,2.08,76,1,1,['*'],[1.86],False,False,['seventy']
2,2.42,76,4,2,"['*', 'L-L%']","[2.25, 2.295]",False,True,['six']
3,2.89,76,1,3,"['*', '*']","[2.515, 2.775]",False,False,['Democratic']
4,3.21,76,1,4,['*'],[3.02],False,False,['Governor']
5,3.52,76,1,5,['*'],[3.35],False,False,['Michael']
6,4.11,76,3,6,"['*', 'L-']","[3.835, 3.985]",False,True,['Dukakis']
7,4.49,76,1,7,['*'],[4.345],False,False,['fulfilled']
8,4.54,76,1,8,[],[],False,False,['a']
9,5.09,76,2,9,['*'],[5.005],False,False,['campaign']
10,5.51,76,3,10,"['*', 'H-']","[5.28, 5.415]",False,True,['promise']
11,5.64,76,1-,11,[],[],False,False,['to']
12,6.64,76,3,12,"['*', '*', '*', 'H-']","[5.81, 6.125, 6.485, 6.615]",False,True,['de-politicize']
13,7.11,76,1,13,['*'],[6.91],False,False,['Judicial']
14,7.66,76,4,14,"['*', 'L-L%']","[7.32, 7.605]",False,True,['appointments']
15,8.27,76,1,15,[],[],False,False,['he']
16,8.51,76,1,16,['*'],[8.39],False,False,['named']
17,9.12,76,1,17,['*'],[8.73],False,False,['Republican']
18,9.39,76,1,18,['*'],[9.17],False,False,['Edward']
19,9.88,76,3,19,"['*', 'L-']","[9.555, 9.845]",False,True,['Hennessy']
20,10.03,76,1-,20,[],[],False,False,['to']
21,10.26,76,2,21,['*'],[10.145],False,False,['head']
22,10.33,76,1,22,[],[],False,False,['the']
23,10.64,76,1,23,['*'],[10.53],False,False,['State']
24,11.05,76,1,24,['*'],[10.975],False,False,['Supreme']
25,11.52,76,1,25,['*'],[11.31],False,False,['Judicial']
26,11.81,76,4,26,"['*', 'L-L%']","[11.72, 11.795]",False,True,['Court']
27,12.65,76,1,27,[],[],False,False,['for']
28,13.09,76,3,28,"['*', 'L-']","[12.76, 13.04]",False,True,['Hennessy']
29,13.14,76,1,29,[],[],False,False,['It']
30,13.35,76,1,30,[],[],False,False,['was']
31,13.68,76,1,31,['*'],[13.515],False,False,['another']
32,14.02,76,4,32,"['*', 'L-L%']","[13.9, 13.955]",False,True,['step']
33,14.33,76,2,33,['*'],[14.245],False,False,['along']
34,14.37,76,1,34,[],[],False,False,['a']
35,15.02,76,1,35,['*'],[14.695],False,False,['distinguished']
36,15.41,76,4,36,"['*', 'L-H%']","[15.325, 15.394574]",False,True,['career']
37,15.87,76,1-,37,[],[],False,False,['That']
38,16.219999,76,2,38,['*'],[16.129999],False,False,['began']
39,16.370001,76,1-,39,[],[],False,False,['as']
40,16.42,76,1,40,[],[],False,False,['a']
41,16.82,76,2,41,['*'],[16.625],False,False,['trial']
42,17.120001,76,4,42,"['*', 'L-H%']","[16.934999, 17.111439]",False,True,['lawyer']
43,17.26,76,1-,43,[],[],False,False,['and']
44,17.469999,76,1,44,['*'],[17.41],False,False,['led']
45,17.610001,76,1,45,[],[],False,False,['to']
46,17.690001,76,1-,46,[],[],False,False,['an']
47,18.110001,76,2,47,['*'],[17.889999],False,False,['appointment']
48,18.32,76,1,48,[],[],False,False,['as']
49,18.9,76,1-,49,['*'],[18.65],False,False,['associate/aj']
50,19.280001,76,1,50,['*'],[19.205],False,False,['Supreme']
51,19.549999,76,1,51,['*'],[19.415001],False,False,['Court']
52,20.040001,76,3,52,"['*', 'H-']","[19.674999, 19.979917]",False,True,['Justice']
53,20.129999,76,1,53,[],[],False,False,['In']
54,20.549999,76,1,54,['*'],[20.254999],False,False,['nineteen']
55,20.940001,76,1,55,['*'],[20.705],False,False,['seventy']
56,21.25,76,4,56,"['*', 'L-L%']","[21.16, 21.234935]",False,True,['one']
57,22.16,76,1,57,['*'],[22.084999],False,False,['That']
58,22.360001,76,3,58,['!H-'],[22.344999],False,True,['year']
59,22.799999,76,1,59,['*'],[22.549999],False,False,['Thomas']
60,23.200001,76,4,60,"['*', 'L-L%']","[22.945, 23.182723]",False,True,['Maffy']
61,23.48,76,2,61,['*'],[23.41],False,False,['now']
62,23.969999,76,1,62,['*'],[23.684999],False,False,['president']
63,24.09,76,1-,63,[],[],False,False,['of']
64,24.15,76,1,64,[],[],False,False,['the']
65,24.799999,76,1,65,"['*', '*']","[24.285, 24.57]",False,False,['Massachusetts']
66,25.040001,76,2,66,['*'],[24.950001],False,False,['bar']
67,25.77,76,4,67,"['*', '*', 'L-H%']","[25.25, 25.549999, 25.756017]",False,True,['association']
68,26.32,76,1,68,[],[],False,False,['was']
69,26.76,76,1,69,['*'],[26.4],False,False,"[""Hennessy's""]"
70,27.02,76,2,70,['*'],[26.965],False,False,['law']
71,27.42,76,4,71,['L-L%'],[27.334999],False,True,['clerk']
