,break_time,x,break,wrd_id
0,0.76,76,1,0
1,1.09,76,2,1
2,1.68,76,4,2
3,1.92,76,1,3
4,2.1,76,2,4
5,2.18,76,1,5
6,2.88,76,2,6
7,3.47,76,3-,7
8,4.01,76,2,8
9,4.41,76,1-,9
10,5.03,76,4-,10
11,5.12,76,1,11
12,5.47,76,1,12
13,5.89,76,4,13
14,6.62,76,1,14
15,6.7,76,1,15
16,6.91,76,4-,16
17,6.97,76,1,17
18,7.2,76,1,18
19,7.61,76,3-,19
20,7.71,76,1,20
21,7.97,76,1,21
22,8.35,76,1,22
23,8.88,76,1-,23
24,9.47,76,1,24
25,9.8,76,4,25
26,9.93,76,1,26
27,10.38,76,1,27
28,10.83,76,4,28
29,11.31,76,1,29
30,11.45,76,1,30
31,11.94,76,3,31
32,12.08,76,1,32
33,12.6,76,4-,33
34,12.86,76,1,34
35,13.16,76,4,35
36,13.75,76,3,36
37,13.81,76,1,37
38,14.03,76,1,38
39,14.57,76,4,39
40,14.96,76,3,40
41,15.12,76,2,41
42,15.3,76,0,42
43,15.42,76,0,43
44,15.53,76,2-,44
45,15.88,76,4,45
