,peak_time,x,ton,syl_id,wrd_id,prominent_syll
0,0.493349,115,H*,0,0,True
1,0.498892,115,HiF0,1,0,False
2,0.609757,115,L-L%,2,0,False
3,1.186254,115,H*,3,1,True
4,1.197341,115,HiF0,4,1,False
5,1.391354,115,*?,5,2,False
6,1.685146,115,!H-,6,2,False
7,1.956765,115,HiF0,7,3,False
8,2.001111,115,H*,8,4,True
9,2.405768,115,!H*,9,5,True
10,3.392466,115,!H*,10,7,True
11,3.51996,115,L-L%,11,7,False
12,4.262751,115,HiF0,12,9,False
13,4.273837,115,H*,13,9,True
14,4.562086,115,L-H%,14,9,False
15,4.988858,115,HiF0,15,11,False
16,4.994401,115,H*,16,11,True
17,5.626331,115,!H-,17,11,False
18,5.820344,115,H*,18,12,True
19,5.859147,115,HiF0,19,12,False
20,6.230544,115,L-L%,20,12,False
21,6.696171,115,H*,21,13,True
22,6.696171,115,HiF0,22,13,False
23,6.895728,115,L-,23,13,False
24,7.20615,115,H*,24,14,True
25,7.20615,115,HiF0,25,14,False
26,7.444509,115,L-,26,14,False
27,7.644066,115,H*,27,15,True
28,7.810363,115,-?,28,15,False
29,8.115242,115,L+H*,29,17,True
30,8.802604,115,L+H*,30,18,True
31,9.473337,115,L+H*,31,21,True
32,9.473337,115,HiF0,32,21,False
33,9.672894,115,L-L%,33,21,False
34,10.609697,115,L+H*,34,24,True
35,10.609697,115,HiF0,35,24,False
36,10.787081,115,!H-,36,24,False
37,11.335862,115,H*,37,26,True
38,11.346949,115,HiF0,38,26,False
39,11.923446,115,!H*,39,29,True
40,12.32256,115,L+H*,40,31,True
41,12.655155,115,L-L%,41,31,False
42,13.159586,115,L+H*,42,33,True
43,13.198389,115,HiF0,43,34,False
44,13.33697,115,L-L%,44,34,False
45,13.957813,115,L+H*,45,37,True
46,14.12411,115,<,46,37,False
47,14.390186,115,H+!H*,47,38,False
48,14.528767,115,L-H%,48,38,False
49,14.861362,115,H*,49,39,True
50,15.149611,115,H*,50,40,True
51,15.59307,115,H*,51,41,True
52,15.903492,115,H*,52,42,True
53,15.925665,115,HiF0,53,42,False
54,16.175111,115,%?,54,42,False
55,16.696176,115,H*,55,45,True
56,16.696176,115,HiF0,56,45,False
57,16.85693,115,L-,57,45,False
58,17.511028,115,L+H*,58,48,True
59,17.560917,115,HiF0,59,48,False
60,17.749387,115,L-L%,60,48,False
61,18.386861,115,L+H*,61,50,True
62,18.409034,115,HiF0,62,51,False
63,18.824777,115,L+!H*,63,53,False
64,19.013248,115,L-L%,64,53,False
65,19.657749,115,-?,65,55,False
66,19.79633,115,L+H*,66,55,True
67,19.868393,115,<,67,55,False
68,20.134468,115,L+!H*,68,55,False
69,20.439347,115,L+!H*,69,55,False
70,20.494779,115,!H-,70,55,False
71,20.699879,115,H*,71,56,True
72,21.121166,115,HiF0,72,57,False
73,21.137796,115,H*,73,57,True
74,21.736466,115,L-H%,74,58,False
75,22.216511,115,H*,75,59,True
76,22.31629,115,<,76,59,False
77,23.075714,115,L+!H*,77,63,False
78,23.297444,115,-?,78,64,False
79,23.419395,115,HiF0,79,65,False
80,23.602322,115,H+!H*,80,66,False
81,23.840682,115,L-L%,81,66,False
