,break_time,x,break,wrd_id,sylls,syll_times,prominent_unit,prominent_brk,unit
0,0.649722,123,1,0,"['L+H*', 'HiF0']","[0.282705, 0.286144]",True,False,['Computerized']
1,0.890515,123,1,1,['L+!H*'],[0.781598],False,False,['{phone']
2,1.3,123,4,2,"['*?', 'L-H%']","[1.064303, 1.260625]",False,True,['calls']
3,1.45,123,2-,3,[],[],False,False,['which']
4,1.6,123,1-,4,[],[],False,False,['do']
5,1.99,123,3-,5,"['H*', 'HiF0', '!H-']","[1.679603, 1.696233, 1.951222]",True,True,['everything']
6,2.15114,123,1,6,[],[],False,False,['from']
7,2.500527,123,1,7,"['L+H*', 'HiF0']","[2.30599, 2.350336]",True,False,['selling']
8,2.96,123,1,8,['L+H*'],[2.810425],True,False,['magazine']
9,3.63,123,3,9,"['*?', 'H-']","[3.276058, 3.56985]",False,True,['subscriptions']
10,3.74,123,0,10,[],[],False,False,['to']
11,4.200246,123,1,11,"['L+H*', 'HiF0']","[4.046566, 4.057652]",True,False,['reminding']
12,4.54019,123,2-,12,['L+!H*'],[4.345901],False,False,['people']
13,4.812159,123,1,13,[],[],False,False,['about']
14,5.152103,123,3,14,"['L+H*', '!H-']","[4.933485, 5.105325]",True,True,['meetings']
15,5.24181,123,1,15,[],[],False,False,['have']
16,5.770611,123,3,16,"['L+H*', 'HiF0', '!H-']","[5.49335, 5.504436, 5.737253]",True,True,['become']
17,5.87,123,1,17,[],[],False,False,['the']
18,6.46,123,1,18,['L+H*'],[6.103107],True,False,['telephone']
19,6.899036,123,1-,19,['H+!H*'],[6.635258],False,False,"['equivalent', 'of']"
20,7.069008,123,1,20,[],[],False,False,[]
21,7.33,123,1,21,"['HiF0', 'H*']","[7.228385, 7.245015]",True,False,['junk']
22,7.640302,123,4,22,['L-L%'],[7.621956],False,True,['mail']
23,8.22,123,0,23,[],[],False,False,['{But']
24,8.25,123,0,24,[],[],False,False,['a']
25,8.492076,123,1-,25,"['L+H*', 'HiF0']","[8.431266, 8.431266]",True,False,['new']
26,9.15,123,0,26,"['*?', '!H*']","[8.55876, 8.891355]",True,False,"['application', 'of']"
27,9.21,123,0,27,[],[],False,False,['the']
28,9.31,123,0,28,[],[],False,False,[]
29,9.84,123,0,29,['!H*'],[9.517742],True,False,['technology']
30,9.96,123,0,30,[],[],False,False,['is']
31,10.191795,123,1-,31,['!H*'],[10.049893],True,False,['{about']
32,10.249965,123,1-,32,[],[],False,False,['}to']
33,10.339673,123,1,33,[],[],False,False,['be']
34,10.69,123,1-,34,['!H*'],[10.552419],True,False,['tried']
35,10.87,123,1-,35,[],[],False,False,['{out']
36,10.95,123,1-,36,[],[],False,False,['{in']
37,11.74,123,4,37,"['L+H*', 'L-L%']","[11.441248, 11.72646]",True,True,['}Massachusetts']
38,11.891966,123,0,38,[],[],False,False,['to']
39,12.3,123,3,39,"['H*', 'HiF0', '!H-']","[12.049095, 12.049095, 12.270825]",True,True,['ease']
40,12.8,123,1,40,[],[],False,False,['crowded']
41,13.029834,123,1,41,"['L+H*', 'HiF0']","[12.94049, 12.94049]",True,False,['jail']
42,13.602189,123,4,42,['L-L%'],[13.589049],False,True,['conditions']
43,14.46,123,1,43,[],[],False,False,['Next']
44,14.65,123,3-,44,"['HiF0', 'H*', '!H-']","[14.503234, 14.525407, 14.625185]",True,True,['week']
45,14.82,123,1,45,[],[],False,False,['some']
46,15.34,123,4-,46,"['L+H*', 'HiF0', 'L-L%']","[14.918977, 14.963323, 15.318091]",True,True,['inmates']
47,15.771382,123,2,47,['L+H*'],[15.495475],True,False,['released']
48,16.08,123,4-,48,"['L+H*', 'HiF0', 'L-L%']","[15.894588, 15.938934, 16.049799]",True,True,['early']
49,16.26,123,1-,49,[],[],False,False,[]
50,16.33,123,1,50,[],[],False,False,"['from', 'the']"
51,16.76,123,1,51,['L+H*'],[16.513632],True,False,['Hampton']
52,17.11,123,1,52,['L+H*'],[16.912746],True,False,['county']
53,17.452138,123,1-,53,['L+H*'],[17.284143],True,False,['jail']
54,17.541845,123,1-,54,[],[],False,False,['in']
55,18.089532,123,4,55,"['L+H*', 'HiF0', 'L-H%']","[17.70543, 17.755319, 18.049111]",True,True,['Springfield']
56,18.519184,123,1,56,[],[],False,False,['will']
57,18.651384,123,1,57,[],[],False,False,['be']
58,19.04,123,3,58,"['H*', 'HiF0', '!H-']","[18.826056, 18.826056, 18.981267]",True,True,['wearing']
59,19.279336,123,1,59,[],[],False,False,['a']
60,19.979493,123,4,60,"['L+H*', 'HiF0', 'L-L%']","[19.480159, 19.480159, 19.945792]",True,True,['wristband']
61,20.102251,123,1,61,[],[],False,False,['that']
62,20.409145,123,1-,62,"['HiF0', 'L+H*']","[20.222954, 20.228497]",True,False,['hooks']
63,20.51,123,4-,63,['L-H%'],[20.494573],False,True,[]
64,20.70101,123,1,64,['H*'],[20.617861],True,False,"['up', 'with']"
65,20.749088,123,1,65,[],[],False,False,['a']
66,21.131525,123,1,66,"['HiF0', 'L+H*']","[20.923838, 20.944913]",True,False,['special']
67,21.480912,123,4-,67,['L-H%'],[21.37597],False,True,['jack']
68,21.59,123,1-,68,[],[],False,False,['on']
69,21.71,123,1,69,[],[],False,False,['their']
70,21.95,123,1,70,['L*'],[21.848462],True,False,['home']
71,22.38,123,4,71,"['HiF0', 'H*', 'L-L%']","[22.081278, 22.092365, 22.352897]",True,True,['phones']
72,23.18016,123,0,72,['L+H*'],[22.984824],True,False,['Whenever']
73,23.21,123,0,73,[],[],False,False,['a']
74,23.590926,123,1,74,['L+H*'],[23.456],True,False,['computer']
75,23.992248,123,1,75,['L+!H*'],[23.688816],False,False,['randomly']
76,24.39,123,1,76,['L+H*'],[24.208324],True,False,['calls']
