,break_time,x,break,wrd_id
0,0.720622,123,3,0
1,1.258317,123,2,1
2,1.751665,123,1,2
3,2.394682,123,4,3
4,2.466742,123,1,4
5,2.888028,123,1,5
6,3.531045,123,4-,6
7,3.636366,123,1-,7
8,3.985591,123,3-,8
9,4.318185,123,1,9
10,4.501112,123,1,10
11,4.800448,123,1,11
12,5.166302,123,4,12
13,5.554324,123,1-,13
14,5.626386,123,1-,14
15,5.997783,123,2,15
16,6.690689,123,4,16
17,7.073173,123,1,17
18,7.322619,123,1,18
19,7.538805,123,2,19
20,7.882487,123,0,20
21,7.954549,123,1-,21
22,8.104216,123,1,22
23,8.50333,123,4,23
24,9.72284,123,3-,24
25,10.033262,123,1,25
26,10.432376,123,1,26
27,11.053219,123,0,27
28,11.286035,123,1,28
29,11.607544,123,4,29
30,12.289359,123,1,30
31,12.355878,123,1,31
32,12.588694,123,0,32
33,12.760535,123,2-,33
34,13.093129,123,1,34
35,13.608651,123,3-,35
36,13.680713,123,0,36
37,13.769405,123,1,37
38,14.174062,123,3,38
39,14.227886,123,1-,39
40,14.466246,123,1,40
41,14.776667,123,3,41
42,15.220127,123,1,42
43,15.325449,123,1,43
44,15.779995,123,1,44
45,15.868687,123,1,45
46,15.992243,123,4,46
47,17.028777,123,3-,47
48,17.28931,123,1,48
49,17.627447,123,2,49
50,18.12634,123,1,50
51,18.453391,123,1,51
52,18.819245,123,4,52
53,19.234988,123,1,53
54,19.556497,123,1,54
55,19.711708,123,1,55
56,20.19397,123,4,56
57,21.788577,123,1,57
58,22.098999,123,1,58
59,22.498113,123,1,59
60,22.947116,123,4,60
61,23.130039,123,1,61
62,23.31851,123,1,62
63,23.606759,123,1,63
64,23.972613,123,1,64
65,24.460418,123,4,65
66,24.68769,123,0,66
67,24.809641,123,1,67
68,24.953765,123,2-,68
69,25.053544,123,1,69
70,25.369509,123,1,70
71,25.685474,123,3,71
72,25.790795,123,1-,72
73,26.145563,123,1,73
74,26.666628,123,4,74
75,26.744229,123,1-,75
76,27.243121,123,4,76
77,27.879225,123,1,77
78,28.028892,123,2-,78
79,28.36703,123,1,79
80,28.789687,123,4-,80
81,29.037763,123,1,81
82,29.265036,123,1-,82
83,29.370358,123,1,83
84,29.536655,123,1,84
85,29.969028,123,1,85
86,30.440204,123,4-,86
87,30.717366,123,1,87
88,31.105393,123,1-,88
89,31.138653,123,1,89
90,31.471247,123,1,90
91,31.870361,123,1,91
92,32.036658,123,1,92
93,32.324907,123,4,93
94,33.128673,123,1,94
95,33.444638,123,1-,95
96,33.694084,123,2-,96
97,34.071024,123,1,97
98,34.154173,123,1,98
99,34.78056,123,4,99
100,35.02119,123,0,100
101,35.082165,123,1-,101
102,35.409217,123,1,102
103,35.736268,123,4-,103
104,35.924739,123,1,104
105,36.129839,123,2-,105
106,36.224074,123,1,106
107,36.501236,123,2-,107
108,36.66199,123,1,108
109,36.745139,123,1,109
110,37.316093,123,1,110
111,37.53228,123,1,111
112,37.831615,123,4,112
113,38.740702,123,3-,113
114,38.85711,123,1,114
115,39.261767,123,1,115
116,39.494583,123,0,116
117,39.910327,123,3,117
118,40.287267,123,1-,118
119,40.370416,123,1,119
120,40.858221,123,3-,120
121,40.958,123,1,121
122,41.634276,123,4,122
123,42.099904,123,1,123
124,42.360436,123,3,124
125,42.482388,123,1,125
126,42.96465,123,1,126
127,43.275072,123,4,127
128,43.640926,123,1,128
129,43.768421,123,1-,129
130,44.020016,123,0,130
131,44.139818,123,3,131
132,44.206337,123,0,132
133,44.372634,123,0,133
134,44.616537,123,1,134
135,45.098799,123,1-,135
136,45.170861,123,0,136
137,45.276183,123,1,137
138,45.520086,123,1,138
139,45.897027,123,4,139
140,46.368196,123,1,140
141,46.867088,123,3-,141
142,47.099904,123,4-,142
143,47.371523,123,3-,143
144,47.615426,123,1-,144
145,47.77618,123,0,145
146,47.992366,123,0,146
147,48.075515,123,0,147
148,48.402567,123,1,148
149,48.61321,123,4,149
150,49.297549,123,1,150
151,49.718836,123,1,151
152,49.907306,123,1-,152
153,50.06806,123,3-,153
154,50.489347,123,1,154
155,50.866288,123,4,155
156,51.389722,123,0,156
157,52.237839,123,4,157
158,52.758904,123,1,158
159,52.980633,123,1,159
160,53.529415,123,4,160
