,break_time,x,break,wrd_id,sylls,syll_times,prominent_unit,prominent_brk,unit
0,0.482262,123,1,0,[],[],False,False,['the']
1,0.85366,123,3,1,"['L+H*', 'HiF0', 'H-']","[0.676276, 0.676276, 0.759425]",True,True,['state']
2,1.147452,123,1,2,"['H*', 'HiF0']","[1.003327, 1.031044]",True,False,['Safe']
3,1.563195,123,1,3,['!H*'],[1.380268],True,False,['Roads']
4,1.87916,123,3,4,"['!H*', 'H-']","[1.701776, 1.812641]",True,True,['Act']
5,2.006655,123,1-,5,[],[],False,False,['is']
6,2.184038,123,0,6,['L+H*'],[2.08426],True,False,[]
7,2.239471,123,0,7,[],[],False,False,"['only', 'a']"
8,2.422398,123,1,8,[],[],False,False,['few']
9,2.69956,123,1-,9,[],[],False,False,['days']
10,3.048785,123,4,10,"['L+H*', 'HiF0', 'L-L%']","[2.821512, 2.821512, 3.037698]",True,True,[]
11,3.159649,123,0,11,[],[],False,False,['old']
12,3.486701,123,0,12,[],[],False,False,"['{But', ""it's""]"
13,3.874728,123,2-,13,"['L+H*', 'H*']","[3.575393, 3.74169]",True,False,['already']
14,4.272436,123,1,14,['L*+H'],[4.100596],True,False,['facing']
15,4.338955,123,1-,15,[],[],False,False,['a']
16,5.042947,123,4,16,"['H*', 'HiF0', 'L-L%']","[4.566228, 4.566228, 5.042947]",True,True,['challenge']
17,5.486403,123,1,17,[],[],False,False,['the']
18,5.680416,123,2,18,['H*'],[5.575095],True,False,[]
19,5.752478,123,1,19,[],[],False,False,"['man', 'who']"
20,6.201481,123,4,20,"['L+H*', 'HiF0']","[6.051814, 6.0629]",True,True,[]
21,6.434298,123,2-,21,['L-L%'],[6.212568],False,False,"['directed', 'the']"
22,7.082857,123,1-,22,['L+H*'],[6.783522],True,False,[]
23,7.293501,123,1-,23,['L+!H*'],[7.149376],False,False,['successful']
24,7.609465,123,1-,24,['L+H*'],[7.470884],True,False,[]
25,7.94206,123,1-,25,['L+H*'],[7.72033],True,False,['effort']
26,8.003036,123,0,26,[],[],False,False,['last']
27,8.169333,123,1-,27,['L+H*'],[8.097271],True,False,[]
28,8.246939,123,1-,28,[],[],False,False,[]
29,8.895498,123,1,29,['L+H*'],[8.452039],True,False,['election']
30,9.167112,123,1,30,"['L+H*', 'HiF0']","[8.98419, 9.083964]",True,False,"['to', 'get']"
31,9.383299,123,1,31,[],[],False,False,['the']
32,9.53851,123,3,32,['L-'],[9.53851],False,True,[]
33,9.826758,123,1,33,['H*'],[9.732523],True,False,[]
34,10.065118,123,1-,34,[],[],False,False,"['mandatory', 'seat']"
35,10.12055,123,1-,35,[],[],False,False,[]
36,10.231415,123,1,36,['L+H*'],[10.175983],True,False,['belt']
37,10.519664,123,4,37,['X%?'],[10.508578],False,True,['law']
38,10.680418,123,1,38,[],[],False,False,['stripped']
39,10.868888,123,1,39,"['L+H*', 'HiF0']","[10.830086, 10.84717]",True,False,['from']
40,11.19594,123,3,40,"['!H*', 'H-']","[11.029643, 11.184853]",True,True,"['the', 'law']"
41,11.302725,123,1-,41,[],[],False,False,"['books', 'is']"
42,11.633856,123,3,42,"['HiF0', 'H*', 'H-']","[11.474948, 11.49717, 11.630503]",True,True,"['now', 'vowing']"
43,11.769392,123,1-,43,[],[],False,False,"['to', 'try']"
44,12.102725,123,3,44,"['H*', 'HiF0', 'H-']","[11.991614, 11.991614, 12.069392]",True,True,"['to', 'repeal']"
45,12.380503,123,0,45,[],[],False,False,[]
46,12.497169,123,2-,46,[],[],False,False,"['part', 'of']"
47,12.802724,123,1,47,"['HiF0', 'L+H*']","[12.613836, 12.641613]",True,False,['this']
48,13.036058,123,4,48,['L-L%'],[13.019391],False,True,['law']
49,13.702726,123,1-,49,"['H*', 'HiF0']","[13.641615, 13.641615]",True,False,['Lynn']
50,14.24717,123,4,50,"['!H*', 'L-L%']","[13.808282, 14.24717]",True,True,['activist']
51,14.474948,123,1,51,"['H*', 'HiF0']","[14.374948, 14.374948]",True,False,['Chip']
52,14.891615,123,4,52,"['!H*', 'L-L%']","[14.691615, 14.886059]",True,True,['Ford']
53,15.074948,123,1-,53,[],[],False,False,['has']
54,15.280503,123,1,54,"['L+H*', 'HiF0']","[15.186059, 15.186059]",True,False,['{yet']
55,15.34717,123,0,55,[],[],False,False,['}to']
56,15.819392,123,3,56,"['L+!H*', '!H-']","[15.486059, 15.608281]",False,True,"['give', 'a']"
57,16.202725,123,3,57,"['H*', 'HiF0', 'L-']","[16.05828, 16.05828, 16.169392]",True,True,['name']
