,break_time,x,break,wrd_id,sylls,syll_times,prominent_unit,prominent_brk,unit
0,0.243903,123,1,0,['H*'],[0.149668],True,False,['this']
1,0.582041,123,1,1,['!H*'],[0.449003],True,False,['last']
2,0.776054,123,1,2,[],[],False,False,['young']
3,1.053216,123,1,3,['L*'],[0.920179],True,False,[]
4,1.385811,123,4-,4,['*?'],[1.28049],False,True,['mother-to-be']
5,1.518849,123,1,5,['L-H%'],[1.396898],False,False,['is']
6,1.912419,123,1,6,['H+!H*'],[1.596454],False,False,['luckier']
7,2.028828,123,1,7,[],[],False,False,['{than']
8,2.427941,123,4,8,"['H*', 'HiF0', 'L-L%']","[2.184038, 2.200668, 2.411311]",True,True,['}many']
9,2.785681,123,0,9,['H*'],[2.741336],True,False,['She']
10,2.857744,123,0,10,[],[],False,False,['and']
11,2.929806,123,1,11,[],[],False,False,['the']
12,3.362179,123,1,12,['L+H*'],[3.173709],True,False,['father']
13,3.450871,123,1,13,[],[],False,False,['of']
14,3.550649,123,1,14,[],[],False,False,['her']
15,3.877701,123,1-,15,"['L+H*', '-?']","[3.761293, 3.844441]",True,False,['child']
16,3.938676,123,1,16,[],[],False,False,['are']
17,4.33779,123,3,17,"['L+H*', 'HiF0', 'L-']","[4.138233, 4.177036, 4.32116]",True,True,['married']
18,4.432025,123,1-,18,[],[],False,False,['and']
19,4.509631,123,1,19,[],[],False,False,['are']
20,4.881028,123,1,20,['L*'],[4.714731],True,False,['planning']
21,5.047325,123,1,21,[],[],False,False,"['for', 'the']"
22,5.130474,123,1,22,[],[],False,False,[]
23,5.507415,123,4,23,"['L+H*', 'HiF0']","[5.274598, 5.296771]",True,True,['future']
24,5.889895,123,1-,24,['L-L%'],[5.529588],False,False,['and']
25,6.144884,123,1,25,"['H*', 'HiF0']","[5.9675, 5.98413]",True,False,['even']
26,6.300095,123,1,26,[],[],False,False,['though']
27,6.499651,123,1,27,[],[],False,False,"[""she's""]"
28,6.654862,123,1,28,[],[],False,False,['been']
29,7.181471,123,1,29,['H*'],[6.82116],True,False,['sexually']
30,7.519609,123,3,30,"['L+H*', 'L-']","[7.253533, 7.502979]",True,True,['active']
31,7.84666,123,2,31,['L*'],[7.663733],True,False,['since']
32,7.990784,123,1-,32,[],[],False,False,['She']
33,8.168168,123,1,33,[],[],False,False,['was']
34,8.639344,123,3,34,"['L+H*', 'HiF0', '!H-']","[8.378811, 8.378811, 8.639344]",True,True,['twelve']
35,8.916501,123,1,35,[],[],False,False,['She']
36,9.359961,123,3-,36,"['L+H*', 'HiF0', 'L-']","[9.132688, 9.18812, 9.354418]",True,True,['avoided']
37,9.814507,123,1,37,[],[],False,False,['unwanted']
38,10.368832,123,1,38,"['H*', 'HiF0', '-?']","[9.991891, 10.008521, 10.357745]",True,False,['pregnancies']
39,10.501869,123,1,39,[],[],False,False,['by']
40,10.756859,123,1,40,[],[],False,False,['using']
41,11.022934,123,1,41,"['H*', 'HiF0']","[10.950872, 10.967502]",True,False,['birth']
42,11.399875,123,1,42,[],[],False,False,['control']
43,11.7491,123,4,43,"['*?', 'L-H%']","[11.549543, 11.73247]",False,True,['pills']
44,12.109406,123,0,44,[],[],False,False,[]
45,12.25353,123,1,45,[],[],False,False,"['that', 'her']"
46,12.536235,123,1,46,"['H*', '<', 'HiF0']","[12.392111, 12.469717, 12.47526]",True,False,['mother']
47,12.824484,123,1,47,['!H*'],[12.669273],True,False,[]
48,12.913176,123,1,48,[],[],False,False,"['helped', 'her']"
49,13.145992,123,0,49,['H+!H*'],[13.096103],False,False,['{get']
50,13.262401,123,0,50,[],[],False,False,['{at']
51,13.301203,123,1-,51,[],[],False,False,['a']
52,13.68923,123,1,52,['H+!H*'],[13.439784],False,False,['local']
53,14.238012,123,4,53,"['H*', 'L-L%']","[13.883244, 14.238012]",True,True,['Hospital']
54,15.235793,123,2,54,"['H*', 'HiF0']","[14.99189, 15.031312]",True,False,['these']
55,15.430426,123,2,55,['!H*'],[15.408253],True,False,['Three']
56,15.923774,123,2,56,['!H*'],[15.751934],True,False,['young']
57,16.200937,123,4,57,"['!H*', 'L-L%']","[16.073442, 16.184307]",True,True,[]
58,16.5453,123,1,58,['H*'],[16.434435],True,False,"['women', 'like']"
59,16.722684,123,1,59,[],[],False,False,['the']
60,17.060822,123,3,60,"['*?', 'L+H*', 'L-', '%?']","[16.811376, 16.894524, 17.044192, 17.044192]",True,True,['idea']
61,17.149514,123,2-,61,[],[],False,False,['of']
62,17.448849,123,1,62,['H*'],[17.410046],True,False,[]
63,17.770357,123,1,63,['-?'],[17.770357],False,False,['school-based']
64,17.947741,123,1,64,"['L+H*', 'HiF0']","[17.875679, 17.875679]",True,False,['health']
65,18.357941,123,4,65,['L-H%'],[18.357941],False,True,['clinics']
66,19.012041,123,1,66,[],[],False,False,['If']
67,19.178338,123,1,67,['L+H*'],[19.089646],True,False,['one']
68,19.289203,123,1-,68,[],[],False,False,['had']
69,19.738206,123,1,69,['L+H*'],[19.494303],True,False,['existed']
70,19.843527,123,1,70,[],[],False,False,['in']
71,19.998738,123,1,71,"['L+H*', 'HiF0']","[19.943306, 19.998738]",True,False,['their']
72,20.286987,123,2,72,['-?'],[20.286987],False,False,['schools']
73,20.447741,123,1,73,[],[],False,False,['They']
74,20.730447,123,4,74,"['H*', 'L-H%']","[20.608495, 20.697187]",True,True,['say']
75,21.190532,123,1,75,[],[],False,False,['They']
76,21.334656,123,0,76,['H*'],[21.234878],True,False,['would']
77,21.451064,123,1,77,[],[],False,False,['have']
78,21.759117,123,1-,78,"['L+H*', 'HiF0']","[21.573016, 21.595189]",True,False,['used']
79,21.850178,123,3-,79,['H-'],[21.822462],False,True,['it']
80,21.966586,123,1,80,[],[],False,False,['for']
81,22.415589,123,1,81,['H*'],[22.155056],True,False,['someone']
82,22.509824,123,1,82,[],[],False,False,['to']
83,22.814703,123,1,83,['H*'],[22.726011],True,False,['talk']
84,23.030889,123,2,84,[],[],False,False,['to']
85,23.296965,123,1,85,['H+!H*'],[23.158384],False,False,['about']
86,23.890092,123,4,86,"['HiF0', 'H*', 'L-L%']","[23.435546, 23.457719, 23.78477]",True,True,['sex']
87,24.056386,123,1,87,[],[],False,False,['and']
88,24.239314,123,0,88,['L+H*'],[24.172795],True,False,['for']
89,24.26703,123,1,89,[],[],False,False,['a']
90,24.549735,123,1,90,['!H*'],[24.499846],True,False,['safe']
91,24.887873,123,1-,91,['!H*'],[24.727119],True,False,"['place', 'to']"
92,25.081887,123,2-,92,[],[],False,False,['get']
93,25.347962,123,1,93,"['H*', 'HiF0']","[25.248184, 25.248184]",True,False,['birth']
94,25.796965,123,4,94,['L-L%'],[25.758163],False,True,['control']
95,26.406718,123,1,95,[],[],False,False,['a']
96,26.800289,123,1,96,"['HiF0', 'H*']","[26.584102, 26.622905]",True,False,['pilot']
97,27.260378,123,4,97,"['!H*', 'L-L%']","[26.972129, 27.260378]",True,True,['project/n']
98,27.387873,123,1-,98,[],[],False,False,['to']
99,27.604059,123,0,99,"['H*', 'HiF0']","[27.53754, 27.559713]",True,False,['set']
100,27.731554,123,1,100,['*?'],[27.642862],False,False,['up']
101,27.981,123,1,101,[],[],False,False,['such']
102,28.352397,123,4,102,"['!H*', 'L-L%']","[28.108494, 28.352397]",True,True,['clinics']
103,28.496089,123,1,103,[],[],False,False,['in']
104,28.751078,123,2,104,"['HiF0', 'L+H*']","[28.61804, 28.629127]",True,False,['Two']
105,28.928462,123,1-,105,[],[],False,False,['to']
106,29.227797,123,3,106,['L+H*'],[29.122476],True,True,['four']
107,29.69343,123,1,107,['H*'],[29.421811],True,False,['Boston']
108,30.064827,123,3,108,"['HiF0', 'H*', 'H-']","[29.748862, 29.765492, 29.987222]",True,True,['middle']
109,30.170149,123,1-,109,[],[],False,False,['and']
110,30.34199,123,1,110,"['H*', 'HiF0']","[30.281014, 30.281014]",True,False,['high']
111,30.71893,123,4,111,['L-H%'],[30.707844],False,True,"['schools', 'was']"
112,30.88003,123,1,112,['H*'],[30.813511],True,False,[]
113,31.30686,123,3-,113,"['L+H*', 'HiF0']","[31.129476, 31.129476]",True,True,['proposed']
114,31.639454,123,1,114,"['H-', 'H*']","[31.312403, 31.406638]",True,False,['last']
115,31.977592,123,3,115,"['H*', '!H-']","[31.744776, 31.977592]",True,True,['spring']
116,32.094001,123,1,116,['H*'],[32.060741],True,False,[]
117,32.210409,123,1,117,['<'],[32.177149],False,False,"['by', 'the']"
118,32.631695,123,2,118,"['H+!H*', '<', '-?']","[32.34899, 32.592893, 32.620609]",False,False,['Boston']
119,33.014179,123,1,119,"['H*', '<']","[32.814622, 32.925487]",True,False,['student']
120,33.252539,123,1,120,['H*'],[33.097328],True,False,['human']
121,33.590677,123,1,121,['H*'],[33.385577],True,False,['service']
122,34.150544,123,4,122,"['H*', 'HiF0', 'L-L%']","[33.906642, 33.928815, 34.106198]",True,True,['collaborative']
123,34.837901,123,1,123,[],[],False,False,['the']
124,35.159409,123,3,124,"['H*', 'HiF0', '!H-']","[34.970939, 34.970939, 35.153866]",True,True,['plan']
125,35.364509,123,1,125,[],[],False,False,['was']
126,35.841228,123,1,126,['H+!H*'],[35.569609],False,False,['endorsed']
127,36.123934,123,1,127,['!H*'],[35.941007],True,False,['last']
128,36.478701,123,4,128,"['H*', 'HiF0', 'L-L%']","[36.251428, 36.251428, 36.478701]",True,True,['fall']
129,36.656085,123,1,129,[],[],False,False,['by']
130,36.822383,123,1,130,[],[],False,False,['the']
131,37.315731,123,1-,131,"['H*', '<', '!H*', '<']","[36.883358, 36.95542, 37.071829, 37.260299]",True,False,['adolescent']
132,37.543004,123,1,132,['H*'],[37.393337],True,False,['issue']
133,37.942118,123,1,133,"['H*', 'HiF0']","[37.786907, 37.820167]",True,False,['task']
134,38.21928,123,4,134,['L-L%'],[38.21928],False,True,['force']
135,38.413289,123,0,135,[],[],False,False,['{set']
