,break_time,x,break,wrd_id
0,0.39357,123,1,0
1,0.875833,123,3,1
2,1.225057,123,1,2
3,1.419071,123,3,3
4,1.552109,123,0,4
5,1.635257,123,1,5
6,1.940136,123,1,6
7,2.317076,123,2,7
8,2.749449,123,1,8
9,2.893574,123,1,9
10,3.51996,123,4,10
11,3.991133,123,1,11
12,4.473395,123,1,12
13,4.722841,123,1,13
14,4.950114,123,1,14
15,5.482264,123,4,15
16,5.604213,123,1-,16
17,5.986697,123,3-,17
18,6.119735,123,1,18
19,6.524392,123,1,19
20,6.651887,123,1,20
21,7.056544,123,1,21
22,7.422398,123,4,22
23,7.96009,123,1-,23
24,8.043238,123,1,24
25,8.342574,123,1,25
26,8.786033,123,4-,26
27,9.035478,123,1-,27
28,9.246121,123,1,28
29,9.429048,123,1,29
30,9.467851,123,1,30
31,9.94457,123,3,31
32,10.038805,123,0,32
33,10.072064,123,1-,33
34,10.753883,123,1,34
35,11.180713,123,3,35
36,11.531735,123,1,36
37,11.681403,123,1,37
38,12.058343,123,1-,38
39,12.579408,123,1-,39
40,12.867657,123,1-,40
41,13.011781,123,1,41
42,13.665884,123,4,42
43,14.475194,123,4,43
44,14.885394,123,1-,44
45,15.11821,123,1,45
46,15.633732,123,4,46
47,16.165884,123,0,47
48,16.509565,123,1,48
49,16.670319,123,1,49
50,16.941938,123,1,50
51,17.407571,123,4,51
52,17.512889,123,1,52
53,17.612667,123,1,53
54,18.172535,123,1,54
55,18.272313,123,1,55
56,18.510673,123,1,56
57,18.920873,123,4-,57
58,19.153689,123,1,58
59,19.469654,123,3,59
60,19.796705,123,1,60
61,20.412006,123,4,61
62,20.999585,123,0,62
63,21.731293,123,2,63
64,22.352136,123,1,64
65,22.95635,123,4,65
66,23.222305,123,1,66
67,23.532727,123,1,67
68,23.881951,123,1,68
69,24.026076,123,0,69
70,24.059335,123,1-,70
71,24.669092,123,4,71
72,25.018317,123,1,72
73,25.162441,123,1-,73
74,25.201244,123,1,74
75,25.716765,123,3-,75
76,25.838717,123,1,76
77,26.08262,123,1,77
78,26.276633,123,4,78
79,26.969534,123,1,79
80,27.368647,123,1,80
81,27.662439,123,3,81
82,27.934058,123,1,82
83,28.394148,123,1,83
84,28.499469,123,1,84
85,29.037164,123,1,85
86,29.458451,123,1,86
87,29.785502,123,4,87
88,30.239397,123,1,88
89,30.501249,123,2-,89
90,30.650091,123,1,90
91,30.978095,123,1,91
92,31.237191,123,1,92
93,31.835316,123,4,93
94,31.969143,123,1-,94
95,32.255802,123,1,95
96,32.74643,123,4-,96
97,32.812582,123,1-,97
98,33.170906,123,4,98
