,break_time,x,break,wrd_id,sylls,syll_times,prominent_unit,prominent_brk,unit
0,0.39357,123,1,0,"['H*', 'HiF0']","[0.110865, 0.110865]",True,False,[]
1,0.875833,123,3,1,"['!H*', 'L-']","[0.64856, 0.864746]",True,True,['Prothrow-Stith']
2,1.225057,123,1,2,"['HiF0', 'H*']","[1.036587, 1.053216]",True,False,['points']
3,1.419071,123,3,3,"['!H*', '!H-']","[1.297119, 1.385811]",True,True,['out']
4,1.552109,123,0,4,[],[],False,False,['{that']
5,1.635257,123,1,5,[],[],False,False,['If']
6,1.940136,123,1,6,"['L+H*', 'HiF0']","[1.8459, 1.856987]",True,False,[]
7,2.317076,123,2,7,[],[],False,False,['school-based']
8,2.749449,123,1,8,"['L+!H*', '-?']","[2.500003, 2.721733]",False,False,['clinics']
9,2.893574,123,1,9,[],[],False,False,['were']
10,3.51996,123,4,10,"['L+!H*', 'L-L%']","[3.115304, 3.51996]",False,True,['established']
11,3.991133,123,1,11,['H*'],[3.791574],True,False,['parental']
12,4.473395,123,1,12,['L+H*'],[4.24612],True,False,['permission']
13,4.722841,123,1,13,[],[],False,False,['would']
14,4.950114,123,1,14,[],[],False,False,['be']
15,5.482264,123,4,15,"['L+H*', 'HiF0', 'L-L%']","[5.144128, 5.144128, 5.482264]",True,True,['required']
16,5.604213,123,1-,16,[],[],False,False,['for']
17,5.986697,123,3-,17,"['H*', 'HiF0', 'H-']","[5.770511, 5.770511, 5.970068]",True,True,['students']
18,6.119735,123,1,18,[],[],False,False,['to']
19,6.524392,123,1,19,['H+!H*'],[6.352551],False,False,['receive']
20,6.651887,123,1,20,[],[],False,False,['each']
21,7.056544,123,1,21,['H+!H*'],[6.818184],False,False,['service']
22,7.422398,123,4,22,"['H*', 'HiF0', 'L-L%']","[7.123062, 7.123062, 7.422398]",True,True,['offered']
23,7.96009,123,1-,23,[],[],False,False,['and']
24,8.043238,123,1,24,[],[],False,False,['that']
25,8.342574,123,1,25,"['L+H*', 'HiF0']","[8.292685, 8.292685]",True,False,['birth']
26,8.786033,123,4-,26,['L-H%'],[8.769404],False,True,['control']
27,9.035478,123,1-,27,[],[],False,False,['would']
28,9.246121,123,1,28,"['HiF0', 'H*']","[9.135256, 9.162972]",True,False,['only']
29,9.429048,123,1,29,['H*'],[9.362529],True,False,[]
30,9.467851,123,1,30,[],[],False,False,"['be', 'a']"
31,9.94457,123,3,31,"['H*', '!H-']","[9.70621, 9.905767]",True,True,"['part', 'of']"
32,10.038805,123,0,32,[],[],False,False,['a']
33,10.072064,123,1-,33,[],[],False,False,[]
34,10.753883,123,1,34,['H*'],[10.177386],True,False,['comprehensive']
35,11.180713,123,3,35,"['H*', 'HiF0', 'L-']","[10.925724, 10.925724, 11.17517]",True,True,['program']
36,11.531735,123,1,36,[],[],False,False,['dealing']
37,11.681403,123,1,37,[],[],False,False,['with']
38,12.058343,123,1-,38,"['HiF0', 'H*']","[11.886503, 11.892046]",True,False,['other']
39,12.579408,123,1-,39,"['X*?', 'X*?', '<']","[12.141492, 12.407568, 12.485173]",False,False,['adolescent']
40,12.867657,123,1-,40,"['X*?', '<']","[12.640384, 12.756792]",False,False,['issues']
41,13.011781,123,1,41,['X*?'],[12.912003],False,False,['like']
42,13.665884,123,4,42,"['H*', 'L-L%']","[13.327746, 13.649255]",True,True,['depression']
43,14.475194,123,4,43,"['H*', 'HiF0', 'L-L%']","[13.981845, 13.981845, 14.475194]",True,True,[]
44,14.885394,123,1-,44,[],[],False,False,"['suicide', 'and']"
45,15.11821,123,1,45,"['H*', 'HiF0']","[14.940827, 14.940827]",True,False,['eating']
46,15.633732,123,4,46,['L-L%'],[15.617102],False,True,['disorders']
47,16.165884,123,0,47,['H*'],[16.138167],True,False,['She']
48,16.509565,123,1,48,"['HiF0', 'H*']","[16.343268, 16.359897]",True,False,['agrees']
49,16.670319,123,1,49,[],[],False,False,['with']
50,16.941938,123,1,50,['!H*'],[16.731295],True,False,['Mary']
51,17.407571,123,4,51,['H*'],[17.180298],True,True,[]
52,17.512889,123,1,52,['L-L%'],[17.4242],False,False,['Conroy']
53,17.612667,123,1,53,[],[],False,False,"['that', 'the']"
54,18.172535,123,1,54,"['L+H*', 'HiF0']","[17.956348, 17.989608]",True,False,['roots']
55,18.272313,123,1,55,[],[],False,False,['of']
56,18.510673,123,1,56,[],[],False,False,['these']
57,18.920873,123,4-,57,"['L*', 'L-H%']","[18.67697, 18.915329]",True,True,['problems']
58,19.153689,123,1,58,[],[],False,False,['dig']
59,19.469654,123,3,59,"['H*', 'HiF0', 'L-']","[19.336616, 19.336616, 19.469654]",True,True,[]
60,19.796705,123,1,60,['L*'],[19.597149],True,False,"['deep', 'into']"
61,20.412006,123,4,61,"['HiF0', 'H*', 'L-L%']","[20.262338, 20.278968, 20.406462]",True,True,['society']
62,20.999585,123,0,62,[],[],False,False,"['But', 'while']"
63,21.731293,123,2,63,"['L+H*', 'HiF0']","[21.465217, 21.50402]",True,False,['Conroy']
64,22.352136,123,1,64,['!H*'],[22.074974],True,False,['strongly']
65,22.95635,123,4,65,['L+!H*'],[22.657015],False,True,['{opposes']
66,23.222305,123,1,66,"['L-L%', 'H*']","[22.961893, 23.105897]",True,False,[]
67,23.532727,123,1,67,[],[],False,False,['}school-based']
68,23.881951,123,1,68,['L+H*'],[23.693481],True,False,['clinics']
69,24.026076,123,0,69,[],[],False,False,[]
70,24.059335,123,1-,70,[],[],False,False,"['as', 'a']"
71,24.669092,123,4,71,"['L+H*', 'HiF0']","[24.397473, 24.430733]",True,True,['solution']
72,25.018317,123,1,72,"['L-L%', 'H*']","[24.685722, 24.901908]",True,False,['calling']
73,25.162441,123,1-,73,[],[],False,False,[]
74,25.201244,123,1,74,[],[],False,False,"['them', 'a']"
75,25.716765,123,3-,75,"['L+H*', 'HiF0', 'L-']","[25.461776, 25.495036, 25.716765]",True,True,['bandaid']
76,25.838717,123,1,76,[],[],False,False,['that']
77,26.08262,123,1,77,[],[],False,False,"[""won't""]"
78,26.276633,123,4,78,"['H*', 'HiF0', 'L-H%']","[26.132509, 26.132509, 26.276633]",True,True,['work']
79,26.969534,123,1,79,['H*'],[26.736717],True,False,[]
80,27.368647,123,1,80,"['HiF0', 'L+H*']","[27.158004, 27.196807]",True,False,['Prothrow-Stith']
81,27.662439,123,3,81,"['!H*', '!H-']","[27.551574, 27.64581]",True,True,['says']
82,27.934058,123,1,82,['H*'],[27.823193],True,False,['both']
83,28.394148,123,1,83,['L+H*'],[28.161331],True,False,['attention']
84,28.499469,123,1,84,[],[],False,False,['to']
85,29.037164,123,1,85,['L+H*'],[28.649137],True,False,"[""teenagers'""]"
86,29.458451,123,1,86,"['H*', '<', 'HiF0']","[29.186832, 29.314326, 29.319869]",True,False,['immediate']
87,29.785502,123,4,87,['L-L%'],[29.774415],False,True,['needs']
88,30.239397,123,1,88,[],[],False,False,['as']
89,30.501249,123,2-,89,"['HiF0', 'H*']","[30.305549, 30.343188]",True,False,['well']
90,30.650091,123,1,90,[],[],False,False,['as']
91,30.978095,123,1,91,['H*'],[30.870598],True,False,['long']
92,31.237191,123,1,92,[],[],False,False,['range']
93,31.835316,123,4,93,"['L+H*', 'L-L%']","[31.512825, 31.829804]",True,True,['prevention']
94,31.969143,123,1-,94,[],[],False,False,['and']
95,32.255802,123,1,95,"['L+H*', 'HiF0']","[32.123498, 32.145548]",True,False,['health']
96,32.74643,123,4-,96,['L-H%'],[32.74643],False,True,['education']
97,32.812582,123,1-,97,[],[],False,False,['are']
98,33.170906,123,4,98,"['HiF0', 'H*', 'L-L%']","[32.840145, 32.917323, 33.165393]",True,True,['needed']
