,break_time,x,break,wrd_id
0,0.104603,123,1,0
1,0.434101,123,1,1
2,1.276151,123,4,2
3,1.961298,123,2-,3
4,2.306486,123,3,4
5,2.604603,123,1,5
6,3.258369,123,4,6
7,3.70293,123,1,7
8,3.786612,123,1,8
9,4.361926,123,1,9
10,4.816947,123,4,10
11,5.015691,123,1,11
12,6.009415,123,4,12
13,6.453976,123,1,13
14,7.092051,123,4,14
15,7.551893,123,1,15
16,7.83955,123,1,16
17,8.457111,123,3,17
18,8.796663,123,1,18
19,9.273011,123,4,19
20,9.361516,123,1-,20
21,9.591642,123,1,21
22,9.670093,123,1,22
23,10.036202,123,1,23
24,10.376161,123,1,24
25,10.742269,123,1,25
26,11.155857,123,4,26
27,11.694152,123,1,27
28,12.201882,123,4,28
29,12.421139,123,1-,29
30,12.572813,123,1-,30
31,12.83955,123,1,31
32,13.127207,123,1,32
33,13.425324,123,1-,33
34,13.488085,123,1-,34
35,14.058169,123,1,35
36,14.513598,123,4,36
37,14.9839,123,1,37
38,15.114654,123,1-,38
39,15.161725,123,1-,39
40,15.674277,123,1,40
41,15.88389,123,4,41
42,16.076997,123,1,42
43,16.275742,123,1,43
44,16.406495,123,1-,44
45,16.490177,123,1-,45
46,16.992677,123,4,46
47,17.175323,123,1,47
48,17.755868,123,3,48
49,18.095826,123,1,49
50,18.357332,123,1,50
51,18.885575,123,3,51
52,19.037249,123,1,52
53,19.392897,123,1,53
54,20.057532,123,4,54
55,20.778879,123,1,55
56,20.956704,123,3-,56
57,21.396034,123,1,57
58,21.852539,123,4,58
59,22.143943,123,1,59
60,22.619884,123,1-,60
61,22.734947,123,1-,61
62,22.792478,123,1,62
63,23.383483,123,1,63
64,23.67637,123,1,64
65,24.342079,123,4,65
66,24.912161,123,1,66
67,25.30442,123,1,67
68,25.524085,123,1,68
69,25.816975,123,4,69
