,peak_time,x,ton,syl_id,wrd_id,prominent_syll
0,0.245655,115,H*,0,0,True
1,0.245655,115,HiF0,1,0,False
2,0.789588,115,!H*,2,1,True
3,1.166157,115,L-,3,2,False
4,1.68917,115,H*,4,5,True
5,1.788542,115,<,5,5,False
6,1.788542,115,HiF0,6,5,False
7,2.002977,115,!H-,7,5,False
8,2.478919,115,L+H*,8,7,True
9,3.116994,115,L+H*,9,8,True
10,3.137915,115,HiF0,10,8,False
11,3.519714,115,!H-,11,9,False
12,4.22055,115,L+H*,12,11,True
13,5.130592,115,L+H*,13,14,True
14,5.156743,115,HiF0,14,14,False
15,5.334567,115,L-H%,15,14,False
16,6.014484,115,H*,16,16,True
17,6.391053,115,L+H*,17,18,True
18,6.396283,115,HiF0,18,18,False
19,7.023898,115,!H-,19,19,False
20,7.53122,115,H*,20,21,True
21,7.546911,115,HiF0,21,21,False
22,7.824108,115,L-L%,22,22,False
23,8.409881,115,H*,23,25,True
24,8.409881,115,HiF0,24,25,False
25,8.77599,115,*?,25,26,False
26,9.455907,115,*?,26,29,False
27,10.041681,115,!H*,27,30,True
28,10.460091,115,*?,28,33,False
29,10.998794,115,H*,29,36,True
30,11.401514,115,H*,30,36,True
31,11.547958,115,X%?,31,36,False
32,12.008208,115,H+!H*,32,38,False
33,12.264484,115,H+!H*,33,39,False
34,12.761346,115,H*,34,40,True
35,12.761346,115,HiF0,35,40,False
36,13.012392,115,L-L%,36,41,False
37,14.283312,115,HiF0,37,43,False
38,14.304233,115,H*,38,43,True
39,14.393145,115,!H-,39,43,False
40,14.550049,115,HiF0,40,44,False
41,14.565739,115,H*,41,44,True
42,14.633731,115,-?,42,44,False
43,14.801095,115,!H*,43,45,True
44,14.978919,115,!H-,44,45,False
45,15.308417,115,H*,45,46,True
46,15.569924,115,H*,46,47,True
47,15.569924,115,HiF0,47,47,False
48,15.716367,115,!H-,48,47,False
49,16.197539,115,H*,49,50,True
50,16.537497,115,*?,50,51,False
51,16.866995,115,*?,51,52,False
52,17.353397,115,HiF0,52,54,False
53,17.363857,115,L+H*,53,54,True
54,17.557372,115,L-H%,54,54,False
55,18.35758,115,L+H*,55,57,True
56,18.78122,115,L+H*,56,59,True
57,18.79168,115,HiF0,57,59,False
58,19.074107,115,L-L%,58,59,False
59,19.454461,115,HiF0,59,61,False
60,19.459691,115,H*,60,61,True
61,19.668896,115,*?,61,62,False
62,19.726428,115,!H-,62,62,False
63,20.191909,115,H+!H*,63,65,False
64,20.610319,115,H*,64,66,True
65,20.610319,115,HiF0,65,66,False
66,20.756763,115,!H-,66,66,False
67,21.175173,115,H+!H*,67,69,False
68,21.441909,115,H*,68,70,True
69,21.441909,115,HiF0,69,70,False
70,21.729566,115,L-L%,70,70,False
71,22.388561,115,H*,71,71,True
72,22.895884,115,L+H*,72,73,True
73,22.895884,115,HiF0,73,73,False
74,23.042327,115,!H-,74,73,False
75,23.235842,115,H*,75,74,True
76,23.727474,115,L+H*,76,75,True
77,24.355089,115,L+H*,77,78,True
78,24.355089,115,HiF0,78,78,False
79,24.517223,115,L-H%,79,78,False
80,25.123917,115,H*,80,80,True
81,25.123917,115,HiF0,81,80,False
82,25.411574,115,!H*,82,81,True
83,25.578938,115,-?,83,81,False
84,25.599859,115,!H-,84,81,False
85,25.850905,115,*?,85,82,False
86,25.882285,115,>,86,82,False
87,25.882285,115,HiF0,87,82,False
88,26.028729,115,H+!H*,88,82,False
89,26.149022,115,L-H%,89,83,False
90,26.49944,115,H*,90,85,True
91,26.797558,115,H*,91,86,True
92,26.938771,115,>,92,86,False
93,26.938771,115,HiF0,93,86,False
94,27.252579,115,H+!H*,94,87,False
95,27.446093,115,L-,95,87,False
96,27.668089,115,H*,96,88,True
97,27.746541,115,-?,97,88,False
98,28.222482,115,L+H*,98,92,True
99,28.672273,115,>,99,94,False
100,28.672273,115,HiF0,100,94,False
101,28.876248,115,H+!H*,101,96,False
102,29.174366,115,HiF0,102,97,False
103,29.179596,115,H*,103,97,True
104,29.36788,115,L-L%,104,97,False
105,30.000726,115,H*,105,98,True
106,30.324994,115,HiF0,106,99,False
107,30.335454,115,H*,107,99,True
108,30.712023,115,!H-,108,99,False
109,30.769554,115,HiF0,109,100,False
110,30.774784,115,>,110,100,False
111,30.936918,115,H+!H*,111,100,False
112,31.167044,115,L-L%,112,100,False
