,break_time,x,break,wrd_id,sylls,syll_times,prominent_unit,prominent_brk,unit
0,0.083682,123,1,0,[],[],False,False,['the']
1,0.371339,123,1,1,"['H*', 'HiF0']","[0.219665, 0.245816]",True,False,['state']
2,0.711297,123,1,2,['*?'],[0.538703],False,False,['Safe']
3,0.957113,123,1,3,['!H*'],[0.800209],True,False,['Roads']
4,1.182009,123,3,4,['!H-'],[1.140168],False,True,['Act']
5,1.302302,123,1,5,[],[],False,False,['is']
6,1.563808,123,1,6,['H*'],[1.391214],True,False,['only']
7,1.621339,123,1,7,[],[],False,False,['a']
8,1.856695,123,1,8,"['HiF0', 'L+H*']","[1.799164, 1.809624]",True,False,['few']
9,2.170503,123,1,9,[],[],False,False,['days']
10,2.447699,123,4,10,"['L+!H*', 'L-L%']","[2.254185, 2.390168]",False,True,['old']
11,2.583683,123,0,11,[],[],False,False,['{but']
12,2.756277,123,1,12,[],[],False,False,"[""it's""]"
13,3.138076,123,1,13,['L+H*'],[2.829499],True,False,['already']
14,3.535566,123,1,14,['L+!H*'],[3.29498],False,False,['facing']
15,3.598327,123,1,15,[],[],False,False,['a']
16,4.173641,123,4,16,"['HiF0', 'H*', 'L-L%']","[3.844143, 3.865064, 3.964436]",True,True,['challenge']
17,4.633892,123,1,17,[],[],False,False,['the']
18,4.837867,123,1,18,"['H*', 'HiF0']","[4.748955, 4.759415]",True,False,['man']
19,4.937239,123,1,19,[],[],False,False,['who']
20,5.345189,123,1,20,['L+!H*'],[5.109833],False,False,['directed']
21,5.465482,123,1,21,[],[],False,False,['the']
22,6.098327,123,1,22,['L+H*'],[5.774059],True,False,['successful']
23,6.380754,123,1,23,['!H*'],[6.124478],True,False,['effort']
24,6.752093,123,1,24,['H*'],[6.542888],True,False,['last']
25,7.217574,123,3,25,['!H-'],[7.092051],False,True,['election']
26,7.306486,123,1-,26,[],[],False,False,['to']
27,7.505231,123,1,27,['H*'],[7.421549],True,False,['get']
28,7.583683,123,1,28,[],[],False,False,['the']
29,8.211298,123,1,29,"['H*', '-?']","[7.735357, 8.059624]",True,False,['mandatory']
30,8.493725,123,1,30,['L+H*'],[8.378662],True,False,['seat']
31,8.755231,123,1,31,[],[],False,False,['belt']
32,9.016739,123,4,32,['L-L%'],[8.891215],False,True,['law']
33,9.388077,123,1,33,['H*'],[9.231173],True,False,['stripped']
34,9.53975,123,1,34,[],[],False,False,['from']
35,9.592052,123,1,35,[],[],False,False,['the']
36,9.811717,123,1,36,"['L+H*', 'HiF0']","[9.780336, 9.790797]",True,False,['law']
37,10.125523,123,4,37,['L-H%'],[9.968621],False,True,['books']
38,10.3818,123,1,38,[],[],False,False,['is']
39,10.643306,123,1,39,"['L+H*', 'HiF0']","[10.549164, 10.606695]",True,False,['now']
40,10.951884,123,0,40,['!H*'],[10.753139],True,False,['vowing']
41,11.030336,123,1,41,[],[],False,False,['to']
42,11.286612,123,0,42,['H+!H*'],[11.187239],False,False,['try']
43,11.370294,123,1,43,[],[],False,False,['to']
44,11.720712,123,1,44,['H+!H*'],[11.647491],False,False,['repeal']
45,11.940378,123,0,45,['H+!H*'],[11.861926],False,False,['part']
