,break_time,x,break,wrd_id
0,0.319038,123,1,0
1,0.486402,123,1,1
2,0.742678,123,1,2
3,1.25523,123,1,3
4,1.370293,123,1,4
5,1.464436,123,1,5
6,1.710252,123,1,6
7,1.950837,123,1,7
8,2.285566,123,3,8
9,2.552302,123,1,9
10,2.609833,123,1,10
11,3.043934,123,1,11
12,3.894256,123,4,12
13,4.060014,123,1,13
14,4.112315,123,1,14
15,4.384281,123,1,15
16,4.766081,123,4,16
17,5.174031,123,1,17
18,5.278633,123,1,18
19,5.477378,123,1,19
20,6.183445,123,4-,20
21,6.272357,123,1,21
22,6.628006,123,1,22
23,7.339577,123,4,23
24,8.102901,123,1,24
25,8.772357,123,3,25
26,8.90229,123,1,26
27,8.928441,123,1,27
28,9.461913,123,1,28
29,9.94628,123,4,29
30,10.10384,123,1,30
31,10.91451,123,4-,31
32,11.040033,123,1,32
33,11.3643,123,1,33
34,11.725179,123,1,34
35,12.295362,123,4,35
