,peak_time,x,ton,syl_id,wrd_id,prominent_syll
0,0.188285,115,H*,0,0,True
1,0.570084,115,L+H*,1,2,True
2,0.648536,115,HiF0,2,2,False
3,0.669456,115,<,3,2,False
4,0.915272,115,!H*,4,3,True
5,1.616109,115,!H*,5,6,True
6,1.830544,115,*?,6,7,False
7,2.097281,115,H*,7,8,True
8,2.212344,115,H-,8,8,False
9,2.416319,115,H*,9,9,True
10,2.86088,115,H*,10,11,True
11,3.430963,115,L+H*,11,12,True
12,3.430963,115,HiF0,12,12,False
13,3.817993,115,L-H%,13,12,False
14,4.279679,115,H*,14,15,True
15,4.279679,115,HiF0,15,15,False
16,4.572566,115,L-L%,16,16,False
17,5.194951,115,H*,17,18,True
18,5.634282,115,H*,18,20,True
19,5.655202,115,HiF0,19,20,False
20,6.089303,115,L-H%,20,20,False
21,6.220056,115,>,21,21,False
22,6.230516,115,HiF0,22,21,False
23,6.424031,115,H+!H*,23,22,False
24,6.716918,115,H+!H*,24,23,False
25,7.088257,115,H*,25,23,True
26,7.307922,115,L-L%,26,23,False
27,7.993068,115,H*,27,24,True
28,8.223194,115,*?,28,25,False
29,8.547462,115,L+H*,29,25,True
30,8.547462,115,HiF0,30,25,False
31,8.735746,115,!H-,31,25,False
32,9.095805,115,H*,32,28,True
33,9.665888,115,L+H*,33,29,True
34,9.686809,115,HiF0,34,29,False
35,9.864633,115,H-L%,35,29,False
36,10.302585,115,H*,36,31,True
37,10.302585,115,HiF0,37,31,False
38,10.867438,115,L-H%,38,31,False
39,10.961581,115,>,39,32,False
40,10.961581,115,HiF0,40,32,False
41,11.186476,115,H+!H*,41,33,False
42,11.500284,115,H+!H*,42,34,False
43,11.892543,115,H*,43,35,True
44,12.14882,115,L-L%,44,35,False
