,peak_time,x,ton,syl_id,wrd_id,prominent_syll
0,0.183054,115,H*,0,0,True
1,0.193515,115,HiF0,1,0,False
2,0.585774,115,!H*,2,1,True
3,1.338913,115,H*,3,4,True
4,1.542887,115,!H-,4,4,False
5,1.778243,115,HiF0,5,6,False
6,1.820084,115,H*,6,6,True
7,2.107741,115,!H*,7,8,True
8,2.944562,115,H*,8,11,True
9,3.075315,115,H-,9,11,False
10,3.410043,115,L+H*,10,13,True
11,3.415273,115,HiF0,11,13,False
12,4.210252,115,L*,12,16,True
13,4.597282,115,L-H%,13,16,False
14,5.104603,115,H*,14,18,True
15,5.517783,115,!H*,15,18,True
16,5.951883,115,!H*,16,20,True
17,6.307532,115,!H*,17,21,True
18,6.584729,115,H*,18,22,True
19,6.589959,115,HiF0,19,22,False
20,6.814854,115,H-L%,20,22,False
21,7.249037,115,L+H*,21,24,True
22,7.353639,115,HiF0,22,24,False
23,8.263681,115,L+!H*,23,29,False
24,8.504267,115,L-L%,24,29,False
25,9.147573,115,H*,25,31,True
26,9.639205,115,L+H*,26,32,True
27,9.681046,115,HiF0,27,32,False
28,9.968703,115,L-H%,28,33,False
29,10.360961,115,H*,29,34,True
30,11.051338,115,L+H*,30,36,True
31,11.12456,115,<,31,36,False
32,11.12456,115,HiF0,32,36,False
33,11.495899,115,L-H%,33,37,False
34,12.013681,115,L+H*,34,39,True
35,12.045062,115,HiF0,35,39,False
36,12.641296,115,L+H*,36,42,True
37,12.944644,115,L-L%,37,42,False
38,13.18,115,H*,38,43,True
39,13.499037,115,H*,39,45,True
40,13.499037,115,HiF0,40,45,False
41,13.739623,115,L-L%,41,45,False
42,14.571665,115,H+!H*,42,47,False
43,14.864552,115,*?,43,47,False
44,14.969155,115,>,44,47,False
45,14.969155,115,HiF0,45,47,False
46,15.026686,115,H+!H*,46,47,False
47,15.173129,115,L-H%,47,47,False
48,15.429406,115,*?,48,48,False
49,15.58631,115,H+!H*,49,49,False
50,15.800745,115,>,50,49,False
51,15.800745,115,HiF0,51,49,False
52,15.884427,115,H+!H*,52,50,False
53,16.198234,115,L-L%,53,50,False
