,msstateID,msstate,accent_id,phonword_id,start,end,phonword,atype,strength,da,phrase_id,phrase_start,phrase_end,type,binary_accent
0,sw2784A-ms98-a-0002-4,sw2784A-ms98-a-0002,sw2784.A.acc1.aw4,ms2A_pw2,1.12075,1.347,pay,plain,full,statement,,,,,True
1,sw2784A-ms98-a-0002-9,sw2784A-ms98-a-0002,sw2784.A.acc2.aw9,ms2A_pw7,1.827,2.267,taxes,nuclear,full,statement,,,,,True
2,sw2784A-ms98-a-0002-11,sw2784A-ms98-a-0002,sw2784.A.acc3.aw11,ms2A_pw9,2.387,2.647,guess,nuclear,full,statement,,,,,True
3,sw2784A-ms98-a-0002-13,sw2784A-ms98-a-0002,sw2784.A.acc4.aw13,ms2A_pw11,3.0069999999999997,3.216,i-,nuclear,full,statement,,,,,True
4,sw2784A-ms98-a-0002-18,sw2784A-ms98-a-0002,sw2784.A.acc5.aw18,ms2A_pw15,3.7969999999999997,4.077,fair,plain,full,statement,,,,,True
5,sw2784A-ms98-a-0002-21,sw2784A-ms98-a-0002,sw2784.A.acc6.aw21,ms2A_pw18,4.407,4.687,money,nuclear,full,statement,,,,,True
6,sw2784A-ms98-a-0002-22,sw2784A-ms98-a-0002,sw2784.A.acc7.aw22,ms2A_pw19,4.687,5.037,and,nuclear,full,statement,,,,,True
7,sw2784A-ms98-a-0002-28,sw2784A-ms98-a-0002,sw2784.A.acc8.aw28,ms2A_pw24,6.287000000000001,6.397,i,nuclear,full,statement,,,,,True
8,sw2784A-ms98-a-0002-35,sw2784A-ms98-a-0002,sw2784.A.acc9.aw35,ms2A_pw30,8.427,8.677999999999999,a,nuclear,full,statement,,,,,True
9,sw2784A-ms98-a-0002-39,sw2784A-ms98-a-0002,sw2784.A.acc10.aw39,ms2A_pw33,9.347000000000001,9.787,general,nuclear,full,statement,,,,,True
10,sw2784A-ms98-a-0002-43,sw2784A-ms98-a-0002,sw2784.A.acc11.aw43,ms2A_pw37,10.717,10.96675,i,nuclear,full,statement,,,,,True
11,sw2784A-ms98-a-0003-47,sw2784A-ms98-a-0003,sw2784.A.acc12.aw47,ms3A_pw39,11.80725,12.056375,guess,plain,full,statement,,,,,True
12,sw2784A-ms98-a-0003-51,sw2784A-ms98-a-0003,sw2784.A.acc13.aw51,ms3A_pw43,12.456375,12.826375,money's,plain,weak,statement,,,,,True
14,sw2784A-ms98-a-0003-53,sw2784A-ms98-a-0003,sw2784.A.acc14.aw53,ms3A_pw45,13.026375,13.405999999999999,for,nuclear,full,statement,,,,,True
15,sw2784A-ms98-a-0005-59,sw2784A-ms98-a-0005,sw2784.A.acc15.aw59,ms5A_pw48,15.249125,15.759125,sure,nuclear,full,abandon,,,,,True
16,sw2784A-ms98-a-0005-63,sw2784A-ms98-a-0005,sw2784.A.acc16.aw63,ms5A_pw52,16.490375,17.169125,feel,nuclear,full,abandon,,,,,True
17,sw2784A-ms98-a-0012-153,sw2784A-ms98-a-0012,sw2784.A.acc17.aw153,ms12A_pw124,51.88025,52.60025,extraordinary,plain,weak,opinion,,,,,True
18,sw2784A-ms98-a-0012-154,sw2784A-ms98-a-0012,sw2784.A.acc18.aw154,ms12A_pw125,52.60025,52.92025,amount,nuclear,full,opinion,,,,,True
19,sw2784A-ms98-a-0013-159,sw2784A-ms98-a-0013,sw2784.A.acc19.aw159,ms13A_pw128,53.872875,54.222875,spent,nuclear,full,opinion,,,,,True
20,sw2784A-ms98-a-0013-160,sw2784A-ms98-a-0013,sw2784.A.acc20.aw160,ms13A_pw129,54.222875,54.422875,there,plain,weak,opinion,,,,,True
21,sw2784A-ms98-a-0013-163,sw2784A-ms98-a-0013,sw2784.A.acc21.aw163,ms13A_pw132,54.612875,54.802875,not,plain,weak,opinion,,,,,True
22,sw2784A-ms98-a-0013-165,sw2784A-ms98-a-0013,sw2784.A.acc22.aw165,ms13A_pw134,55.022875,55.292875,sure,nuclear,full,opinion,,,,,True
23,sw2784A-ms98-a-0013-167,sw2784A-ms98-a-0013,sw2784.A.acc23.aw167,ms13A_pw136,55.542875,55.722875,that,plain,weak,opinion,,,,,True
24,sw2784A-ms98-a-0013-171,sw2784A-ms98-a-0013,sw2784.A.acc24.aw171,ms13A_pw140,56.262875,56.622875,money's,plain,full,opinion,,,,,True
26,sw2784A-ms98-a-0013-173,sw2784A-ms98-a-0013,sw2784.A.acc25.aw173,ms13A_pw142,56.896625,57.28775,there,nuclear,full,opinion,,,,,True
27,sw2784A-ms98-a-0014-177,sw2784A-ms98-a-0014,sw2784.A.acc26.aw177,ms14A_pw144,58.13525,58.707875,regardless,plain,weak,opinion,,,,,True
28,sw2784A-ms98-a-0014-184,sw2784A-ms98-a-0014,sw2784.A.acc27.aw184,ms14A_pw151,59.82525,60.40525,Storm,nuclear,full,opinion,,,,,True
29,sw2784A-ms98-a-0014-187,sw2784A-ms98-a-0014,sw2784.A.acc28.aw187,ms14A_pw154,60.99525,61.40525,Shield,nuclear,full,opinion,,,,,True
30,sw2784A-ms98-a-0014-189,sw2784A-ms98-a-0014,sw2784.A.acc29.aw189,ms14A_pw156,61.661625,62.526125,situations,nuclear,full,opinion,,,,,True
31,sw2784A-ms98-a-0016-197,sw2784A-ms98-a-0016,sw2784.A.acc30.aw197,ms16A_pw160,64.61125,64.80125,my,nuclear,full,statement,,,,,True
32,sw2784A-ms98-a-0016-199,sw2784A-ms98-a-0016,sw2784.A.acc31.aw199,ms16A_pw162,65.41125,65.71125,beef,plain,weak,statement,,,,,True
33,sw2784A-ms98-a-0016-203,sw2784A-ms98-a-0016,sw2784.A.acc32.aw203,ms16A_pw166,66.45125,67.18125,participated,nuclear,full,statement,,,,,True
34,sw2784A-ms98-a-0016-206,sw2784A-ms98-a-0016,sw2784.A.acc33.aw206,ms16A_pw169,67.35125,67.49125,mi[litary]-,nuclear,full,statement,,,,,True
35,sw2784A-ms98-a-0016-207,sw2784A-ms98-a-0016,sw2784.A.acc34.aw207,ms16A_pw170,67.49125,67.95125,military,plain,weak,statement,,,,,True
36,sw2784A-ms98-a-0016-210,sw2784A-ms98-a-0016,sw2784.A.acc35.aw210,ms16A_pw173,68.23125,68.546625,on,nuclear,full,statement,,,,,True
37,sw2784A-ms98-a-0016-213,sw2784A-ms98-a-0016,sw2784.A.acc36.aw213,ms16A_pw175,68.95125,69.242,the,nuclear,full,statement,,,,,True
38,sw2784A-ms98-a-0016-216,sw2784A-ms98-a-0016,sw2784.A.acc37.aw216,ms16A_pw178,69.55125,70.02125,years,plain,full,statement,,,,,True
39,sw2784A-ms98-a-0016-220,sw2784A-ms98-a-0016,sw2784.A.acc38.aw220,ms16A_pw182,70.85125,71.15125,back,plain,full,statement,,,,,True
40,sw2784A-ms98-a-0016-225,sw2784A-ms98-a-0016,sw2784.A.acc39.aw225,ms16A_pw187,71.69125,72.00125,nature,nuclear,full,statement,,,,,True
41,sw2784A-ms98-a-0016-229,sw2784A-ms98-a-0016,sw2784.A.acc40.aw229,ms16A_pw191,72.51125,72.79125,found,nuclear,full,statement,,,,,True
42,sw2784A-ms98-a-0016-235,sw2784A-ms98-a-0016,sw2784.A.acc41.aw235,ms16A_pw197,73.34125,74.02125,extraordinary,plain,full,statement,,,,,True
43,sw2784A-ms98-a-0016-238,sw2784A-ms98-a-0016,sw2784.A.acc42.aw238,ms16A_pw200,74.34125,74.73125,waste,nuclear,full,statement,,,,,True
44,sw2784A-ms98-a-0016-240,sw2784A-ms98-a-0016,sw2784.A.acc43.aw240,ms16A_pw202,74.76125,75.11125,take,nuclear,full,statement,,,,,True
